mi,class,fold,attr_method,contrast
0.19681132018352443,footleft,0,lrp,grpattr-vs-grporig
0.29166554470963035,footleft,1,lrp,grpattr-vs-grporig
0.20699240737611024,footleft,2,lrp,grpattr-vs-grporig
0.23708959507144112,footleft,3,lrp,grpattr-vs-grporig
0.22874304447271765,footleft,4,lrp,grpattr-vs-grporig
0.18257589803835295,footleft,5,lrp,grpattr-vs-grporig
0.2102920680333984,footleft,6,lrp,grpattr-vs-grporig
0.2007117598105106,footleft,7,lrp,grpattr-vs-grporig
0.15090892168233339,footleft,8,lrp,grpattr-vs-grporig
0.21279495852411046,footleft,9,lrp,grpattr-vs-grporig
0.13223858145166734,footleft,0,guidedbackprop,grpattr-vs-grporig
0.14904814690790147,footleft,1,guidedbackprop,grpattr-vs-grporig
0.1522088425534216,footleft,2,guidedbackprop,grpattr-vs-grporig
0.13774732441452908,footleft,3,guidedbackprop,grpattr-vs-grporig
0.14025988366575426,footleft,4,guidedbackprop,grpattr-vs-grporig
0.15167802913264516,footleft,5,guidedbackprop,grpattr-vs-grporig
0.1421330573556121,footleft,6,guidedbackprop,grpattr-vs-grporig
0.13889985825649642,footleft,7,guidedbackprop,grpattr-vs-grporig
0.155786099967675,footleft,8,guidedbackprop,grpattr-vs-grporig
0.15208639006083136,footleft,9,guidedbackprop,grpattr-vs-grporig
0.027913288816608706,footright,0,lrp,grpattr-vs-grporig
0.02910680166825763,footright,1,lrp,grpattr-vs-grporig
0.11327390904261136,footright,2,lrp,grpattr-vs-grporig
0.026595195359177204,footright,3,lrp,grpattr-vs-grporig
0.0746749620569176,footright,4,lrp,grpattr-vs-grporig
0.041713044853686654,footright,5,lrp,grpattr-vs-grporig
0.11784324166504767,footright,6,lrp,grpattr-vs-grporig
0.05148917868790015,footright,7,lrp,grpattr-vs-grporig
0.1988134627069229,footright,8,lrp,grpattr-vs-grporig
0.041300756810010775,footright,9,lrp,grpattr-vs-grporig
0.15918378870403505,footright,0,guidedbackprop,grpattr-vs-grporig
0.16798692594822562,footright,1,guidedbackprop,grpattr-vs-grporig
0.17397958611323894,footright,2,guidedbackprop,grpattr-vs-grporig
0.15959334161365746,footright,3,guidedbackprop,grpattr-vs-grporig
0.16565006229893253,footright,4,guidedbackprop,grpattr-vs-grporig
0.16129916489557505,footright,5,guidedbackprop,grpattr-vs-grporig
0.16852514636322535,footright,6,guidedbackprop,grpattr-vs-grporig
0.16652929439435038,footright,7,guidedbackprop,grpattr-vs-grporig
0.16440708899521983,footright,8,guidedbackprop,grpattr-vs-grporig
0.17011811498991936,footright,9,guidedbackprop,grpattr-vs-grporig
0.17453215333729144,handleft,0,lrp,grpattr-vs-grporig
0.15485258516835732,handleft,1,lrp,grpattr-vs-grporig
0.0632081499913637,handleft,2,lrp,grpattr-vs-grporig
0.11107547443683785,handleft,3,lrp,grpattr-vs-grporig
0.05092750988002859,handleft,4,lrp,grpattr-vs-grporig
0.17031415984423237,handleft,5,lrp,grpattr-vs-grporig
0.136643472963077,handleft,6,lrp,grpattr-vs-grporig
0.08633793625855724,handleft,7,lrp,grpattr-vs-grporig
0.09803805366943852,handleft,8,lrp,grpattr-vs-grporig
0.20155216007616783,handleft,9,lrp,grpattr-vs-grporig
0.1536730374468176,handleft,0,guidedbackprop,grpattr-vs-grporig
0.14966984894238333,handleft,1,guidedbackprop,grpattr-vs-grporig
0.16289331895073556,handleft,2,guidedbackprop,grpattr-vs-grporig
0.15988822689897475,handleft,3,guidedbackprop,grpattr-vs-grporig
0.15016657474432105,handleft,4,guidedbackprop,grpattr-vs-grporig
0.16202845817082867,handleft,5,guidedbackprop,grpattr-vs-grporig
0.15054452931758266,handleft,6,guidedbackprop,grpattr-vs-grporig
0.15279736652226994,handleft,7,guidedbackprop,grpattr-vs-grporig
0.15940600301332353,handleft,8,guidedbackprop,grpattr-vs-grporig
0.16264942787636816,handleft,9,guidedbackprop,grpattr-vs-grporig
0.34396274991082354,handright,0,lrp,grpattr-vs-grporig
0.28835356296270476,handright,1,lrp,grpattr-vs-grporig
0.15343057500377189,handright,2,lrp,grpattr-vs-grporig
0.24815133747229456,handright,3,lrp,grpattr-vs-grporig
0.2465429893138813,handright,4,lrp,grpattr-vs-grporig
0.3110755580265705,handright,5,lrp,grpattr-vs-grporig
0.3153244338233918,handright,6,lrp,grpattr-vs-grporig
0.2571158929983248,handright,7,lrp,grpattr-vs-grporig
0.19707606237742326,handright,8,lrp,grpattr-vs-grporig
0.17088952354772413,handright,9,lrp,grpattr-vs-grporig
0.16978004889363962,handright,0,guidedbackprop,grpattr-vs-grporig
0.17229279984518708,handright,1,guidedbackprop,grpattr-vs-grporig
0.17949805426780419,handright,2,guidedbackprop,grpattr-vs-grporig
0.1778003094038345,handright,3,guidedbackprop,grpattr-vs-grporig
0.16511368492953693,handright,4,guidedbackprop,grpattr-vs-grporig
0.1859579834200682,handright,5,guidedbackprop,grpattr-vs-grporig
0.1786995711158461,handright,6,guidedbackprop,grpattr-vs-grporig
0.173470928500576,handright,7,guidedbackprop,grpattr-vs-grporig
0.17248302281999628,handright,8,guidedbackprop,grpattr-vs-grporig
0.17702812392721956,handright,9,guidedbackprop,grpattr-vs-grporig
0.14934401549859366,tongue,0,lrp,grpattr-vs-grporig
0.29780896690136327,tongue,1,lrp,grpattr-vs-grporig
0.2850656148422148,tongue,2,lrp,grpattr-vs-grporig
0.38459650490929764,tongue,3,lrp,grpattr-vs-grporig
0.2119056194755098,tongue,4,lrp,grpattr-vs-grporig
0.35808596019331684,tongue,5,lrp,grpattr-vs-grporig
0.2709503233558328,tongue,6,lrp,grpattr-vs-grporig
0.2318325497665441,tongue,7,lrp,grpattr-vs-grporig
0.15167610225977413,tongue,8,lrp,grpattr-vs-grporig
0.34972045958529385,tongue,9,lrp,grpattr-vs-grporig
0.19232636208108378,tongue,0,guidedbackprop,grpattr-vs-grporig
0.19482693842330878,tongue,1,guidedbackprop,grpattr-vs-grporig
0.20612587837798646,tongue,2,guidedbackprop,grpattr-vs-grporig
0.18914255987008044,tongue,3,guidedbackprop,grpattr-vs-grporig
0.1821497676649919,tongue,4,guidedbackprop,grpattr-vs-grporig
0.2018351053259524,tongue,5,guidedbackprop,grpattr-vs-grporig
0.20539183729397248,tongue,6,guidedbackprop,grpattr-vs-grporig
0.20275487775908196,tongue,7,guidedbackprop,grpattr-vs-grporig
0.19432794469899406,tongue,8,guidedbackprop,grpattr-vs-grporig
0.1960128387547,tongue,9,guidedbackprop,grpattr-vs-grporig
