mi,class,fold,attr_method
0.09337455235261327,footleft,0,lrp
0.19148929323307673,footleft,1,lrp
0.09229601924926811,footleft,2,lrp
0.12952947625105704,footleft,3,lrp
0.11209124572834384,footleft,4,lrp
0.09692280454244884,footleft,5,lrp
0.10031204817064676,footleft,6,lrp
0.09264793086512224,footleft,7,lrp
0.04453481902280121,footleft,8,lrp
0.0999410883766414,footleft,9,lrp
0.03404022660504502,footright,0,lrp
0.031477082095054065,footright,1,lrp
0.03882309538531814,footright,2,lrp
0.025583082697597348,footright,3,lrp
0.03811569360366551,footright,4,lrp
0.02355664353818021,footright,5,lrp
0.05734222588671134,footright,6,lrp
0.021536325746327023,footright,7,lrp
0.06844636554431904,footright,8,lrp
0.025702690282864538,footright,9,lrp
0.0633874150400624,handleft,0,lrp
0.04076113721167829,handleft,1,lrp
0.030160536791004944,handleft,2,lrp
0.031823693558354016,handleft,3,lrp
0.0344711919455154,handleft,4,lrp
0.05809889375156363,handleft,5,lrp
0.02892331661917069,handleft,6,lrp
0.03434818358470082,handleft,7,lrp
0.03988787629117052,handleft,8,lrp
0.092522601603088,handleft,9,lrp
0.15148816652532293,handright,0,lrp
0.10464637465343785,handright,1,lrp
0.03494990051766944,handright,2,lrp
0.09598073373359295,handright,3,lrp
0.08503560709908076,handright,4,lrp
0.10467512256144129,handright,5,lrp
0.11501474660603073,handright,6,lrp
0.05258132420335393,handright,7,lrp
0.037720667835102084,handright,8,lrp
0.037057463178494565,handright,9,lrp
0.03936619511143746,tongue,0,lrp
0.10447248267769282,tongue,1,lrp
0.09727974421296448,tongue,2,lrp
0.18842716149645344,tongue,3,lrp
0.09525467157983059,tongue,4,lrp
0.14298947184094413,tongue,5,lrp
0.1201911233336137,tongue,6,lrp
0.0931003444590317,tongue,7,lrp
0.03373258717091865,tongue,8,lrp
0.13839290504474544,tongue,9,lrp
0.07094163943250464,footleft,0,guidedbackprop
0.08274603948721637,footleft,1,guidedbackprop
0.08202369087413874,footleft,2,guidedbackprop
0.07549703647707506,footleft,3,guidedbackprop
0.07005930123684578,footleft,4,guidedbackprop
0.06887607283750796,footleft,5,guidedbackprop
0.07620832452445914,footleft,6,guidedbackprop
0.07404976142984943,footleft,7,guidedbackprop
0.07649149531102406,footleft,8,guidedbackprop
0.08029284040661633,footleft,9,guidedbackprop
0.07832023717677217,footright,0,guidedbackprop
0.09233826486494845,footright,1,guidedbackprop
0.0952600089567266,footright,2,guidedbackprop
0.07550342541770316,footright,3,guidedbackprop
0.07912987774992608,footright,4,guidedbackprop
0.08030950983169838,footright,5,guidedbackprop
0.08148514544670338,footright,6,guidedbackprop
0.08114582845967888,footright,7,guidedbackprop
0.07753003757509713,footright,8,guidedbackprop
0.08625487508979113,footright,9,guidedbackprop
0.056428977207773734,handleft,0,guidedbackprop
0.061522259356369347,handleft,1,guidedbackprop
0.06687209712689679,handleft,2,guidedbackprop
0.05909877454406942,handleft,3,guidedbackprop
0.054268584017992616,handleft,4,guidedbackprop
0.053812367594486155,handleft,5,guidedbackprop
0.05771191503523454,handleft,6,guidedbackprop
0.06307074413325964,handleft,7,guidedbackprop
0.057832789347103564,handleft,8,guidedbackprop
0.06232238617071051,handleft,9,guidedbackprop
0.06720489526079909,handright,0,guidedbackprop
0.07014029606750949,handright,1,guidedbackprop
0.07274530434169968,handright,2,guidedbackprop
0.06620814736721492,handright,3,guidedbackprop
0.06582888606497939,handright,4,guidedbackprop
0.06140603363167774,handright,5,guidedbackprop
0.06735147843556,handright,6,guidedbackprop
0.06851251101624811,handright,7,guidedbackprop
0.0698004933347054,handright,8,guidedbackprop
0.06911920078260092,handright,9,guidedbackprop
0.09240949909835372,tongue,0,guidedbackprop
0.09225362109664026,tongue,1,guidedbackprop
0.09943314455304453,tongue,2,guidedbackprop
0.08969296856639986,tongue,3,guidedbackprop
0.08657258176207794,tongue,4,guidedbackprop
0.08765296838455061,tongue,5,guidedbackprop
0.09270383916854019,tongue,6,guidedbackprop
0.09315601671350304,tongue,7,guidedbackprop
0.09022952847150112,tongue,8,guidedbackprop
0.09249593208356632,tongue,9,guidedbackprop
