mi,class,attr_method,contrast
0.015433171848641791,footleft,tscore,subt-vs-grpt
0.021239369951249643,footleft,tscore,subt-vs-grpt
0.010988805366351606,footleft,tscore,subt-vs-grpt
0.012845309752976597,footleft,tscore,subt-vs-grpt
0.021755082304921736,footleft,tscore,subt-vs-grpt
0.016809023502941223,footleft,tscore,subt-vs-grpt
0.014961701124519777,footleft,tscore,subt-vs-grpt
0.01622881584373559,footleft,tscore,subt-vs-grpt
0.0168514241588662,footleft,tscore,subt-vs-grpt
0.017609565181528453,footleft,tscore,subt-vs-grpt
0.018654020310147956,footleft,tscore,subt-vs-grpt
0.022531777116333807,footleft,tscore,subt-vs-grpt
0.014425550604216575,footleft,tscore,subt-vs-grpt
0.016889201471687265,footleft,tscore,subt-vs-grpt
0.015674834771414403,footleft,tscore,subt-vs-grpt
0.01809645380267444,footleft,tscore,subt-vs-grpt
0.023111174960880554,footleft,tscore,subt-vs-grpt
0.0200736830871584,footleft,tscore,subt-vs-grpt
0.019934014837208913,footleft,tscore,subt-vs-grpt
0.01994021482836228,footleft,tscore,subt-vs-grpt
0.018750553409659254,footright,tscore,subt-vs-grpt
0.02480194824702675,footright,tscore,subt-vs-grpt
0.013081872968547792,footright,tscore,subt-vs-grpt
0.012879862449074686,footright,tscore,subt-vs-grpt
0.019101389283504133,footright,tscore,subt-vs-grpt
0.015411096339984276,footright,tscore,subt-vs-grpt
0.016361530045482908,footright,tscore,subt-vs-grpt
0.023579018428589116,footright,tscore,subt-vs-grpt
0.018206053284052004,footright,tscore,subt-vs-grpt
0.019467318174483772,footright,tscore,subt-vs-grpt
0.02722335386323227,footright,tscore,subt-vs-grpt
0.026160302131639668,footright,tscore,subt-vs-grpt
0.01923325757867289,footright,tscore,subt-vs-grpt
0.017711285059915483,footright,tscore,subt-vs-grpt
0.021106520406029006,footright,tscore,subt-vs-grpt
0.017144343714382337,footright,tscore,subt-vs-grpt
0.024846390066348256,footright,tscore,subt-vs-grpt
0.019271438196978075,footright,tscore,subt-vs-grpt
0.01923009944079812,footright,tscore,subt-vs-grpt
0.017802741752102058,footright,tscore,subt-vs-grpt
0.017409933571634895,handleft,tscore,subt-vs-grpt
0.0237186973008372,handleft,tscore,subt-vs-grpt
0.015197057869119845,handleft,tscore,subt-vs-grpt
0.022887505271276254,handleft,tscore,subt-vs-grpt
0.012262879668865523,handleft,tscore,subt-vs-grpt
0.01691058875215301,handleft,tscore,subt-vs-grpt
0.016647536702500965,handleft,tscore,subt-vs-grpt
0.020436118657168656,handleft,tscore,subt-vs-grpt
0.011275863031928068,handleft,tscore,subt-vs-grpt
0.017030979464598417,handleft,tscore,subt-vs-grpt
0.02068598269290156,handleft,tscore,subt-vs-grpt
0.01917960325855539,handleft,tscore,subt-vs-grpt
0.017842386834984403,handleft,tscore,subt-vs-grpt
0.016718920353794076,handleft,tscore,subt-vs-grpt
0.012646752633001412,handleft,tscore,subt-vs-grpt
0.016978200576245328,handleft,tscore,subt-vs-grpt
0.01686006751539626,handleft,tscore,subt-vs-grpt
0.020191935868751898,handleft,tscore,subt-vs-grpt
0.021893495513033656,handleft,tscore,subt-vs-grpt
0.01632356264366397,handleft,tscore,subt-vs-grpt
0.018134675833431757,handright,tscore,subt-vs-grpt
0.021541286641984847,handright,tscore,subt-vs-grpt
0.012345904014259723,handright,tscore,subt-vs-grpt
0.019715294362508295,handright,tscore,subt-vs-grpt
0.019787925691528763,handright,tscore,subt-vs-grpt
0.017853047147966983,handright,tscore,subt-vs-grpt
0.019923466007459645,handright,tscore,subt-vs-grpt
0.018360785548192204,handright,tscore,subt-vs-grpt
0.012620146483396155,handright,tscore,subt-vs-grpt
0.01907354163183239,handright,tscore,subt-vs-grpt
0.017080793258425153,handright,tscore,subt-vs-grpt
0.02285248924530503,handright,tscore,subt-vs-grpt
0.01775634142338145,handright,tscore,subt-vs-grpt
0.023858209519151963,handright,tscore,subt-vs-grpt
0.017890168211661006,handright,tscore,subt-vs-grpt
0.015879412270298765,handright,tscore,subt-vs-grpt
0.021202792557144967,handright,tscore,subt-vs-grpt
0.021184545629402862,handright,tscore,subt-vs-grpt
0.02103407007473823,handright,tscore,subt-vs-grpt
0.010336043627771296,handright,tscore,subt-vs-grpt
0.031300705021580555,tongue,tscore,subt-vs-grpt
0.03208490022023458,tongue,tscore,subt-vs-grpt
0.02078298819340585,tongue,tscore,subt-vs-grpt
0.027802049501455706,tongue,tscore,subt-vs-grpt
0.025657237509177477,tongue,tscore,subt-vs-grpt
0.025223101420241534,tongue,tscore,subt-vs-grpt
0.024238140994709667,tongue,tscore,subt-vs-grpt
0.024971031193175897,tongue,tscore,subt-vs-grpt
0.0252870112976602,tongue,tscore,subt-vs-grpt
0.02667261043426361,tongue,tscore,subt-vs-grpt
0.025719120134786166,tongue,tscore,subt-vs-grpt
0.03065397231584477,tongue,tscore,subt-vs-grpt
0.02377513305718093,tongue,tscore,subt-vs-grpt
0.025406020973387733,tongue,tscore,subt-vs-grpt
0.030888853157191143,tongue,tscore,subt-vs-grpt
0.023715137607887904,tongue,tscore,subt-vs-grpt
0.03591412458105392,tongue,tscore,subt-vs-grpt
0.021225324937941714,tongue,tscore,subt-vs-grpt
0.024762848289237027,tongue,tscore,subt-vs-grpt
0.02489398940799692,tongue,tscore,subt-vs-grpt
