accuracy,algorithm,prct_occluded
0.99,lrp,0.0
0.64,lrp,0.2
0.56,lrp,0.4
0.46,lrp,0.6000000000000001
0.35,lrp,0.8
0.32,lrp,1.0
0.28,lrp,1.2000000000000002
0.26,lrp,1.4000000000000001
0.25,lrp,1.6
0.23,lrp,1.8
0.23,lrp,2.0
0.21,lrp,2.5
0.2,lrp,3.0
0.19,lrp,3.5
0.17,lrp,4.0
0.17,lrp,4.5
0.21,lrp,5.0
0.22,lrp,6.0
0.2,lrp,7.0
0.21,lrp,8.0
0.21,lrp,9.0
0.22,lrp,10.0
0.18,lrp,12.0
0.19,lrp,14.0
0.2,lrp,16.0
0.19,lrp,18.0
0.22,lrp,20.0
0.21,lrp,22.0
0.23,lrp,24.0
0.19,lrp,26.0
0.2,lrp,28.0
0.21,lrp,30.0
0.97,lrp,0.0
0.74,lrp,0.2
0.63,lrp,0.4
0.52,lrp,0.6000000000000001
0.47,lrp,0.8
0.43,lrp,1.0
0.37,lrp,1.2000000000000002
0.36,lrp,1.4000000000000001
0.36,lrp,1.6
0.34,lrp,1.8
0.35,lrp,2.0
0.31,lrp,2.5
0.27,lrp,3.0
0.26,lrp,3.5
0.27,lrp,4.0
0.27,lrp,4.5
0.27,lrp,5.0
0.29,lrp,6.0
0.27,lrp,7.0
0.26,lrp,8.0
0.23,lrp,9.0
0.23,lrp,10.0
0.21,lrp,12.0
0.23,lrp,14.0
0.23,lrp,16.0
0.23,lrp,18.0
0.23,lrp,20.0
0.21,lrp,22.0
0.21,lrp,24.0
0.22,lrp,26.0
0.25,lrp,28.0
0.24,lrp,30.0
0.96,lrp,0.0
0.74,lrp,0.2
0.59,lrp,0.4
0.53,lrp,0.6000000000000001
0.5,lrp,0.8
0.44,lrp,1.0
0.42,lrp,1.2000000000000002
0.37,lrp,1.4000000000000001
0.36,lrp,1.6
0.36,lrp,1.8
0.35,lrp,2.0
0.28,lrp,2.5
0.25,lrp,3.0
0.22,lrp,3.5
0.23,lrp,4.0
0.24,lrp,4.5
0.2,lrp,5.0
0.17,lrp,6.0
0.14,lrp,7.0
0.12,lrp,8.0
0.13,lrp,9.0
0.14,lrp,10.0
0.15,lrp,12.0
0.16,lrp,14.0
0.21,lrp,16.0
0.21,lrp,18.0
0.21,lrp,20.0
0.21,lrp,22.0
0.2,lrp,24.0
0.2,lrp,26.0
0.19,lrp,28.0
0.21,lrp,30.0
0.99,lrp,0.0
0.69,lrp,0.2
0.48,lrp,0.4
0.43,lrp,0.6000000000000001
0.39,lrp,0.8
0.4,lrp,1.0
0.36,lrp,1.2000000000000002
0.36,lrp,1.4000000000000001
0.34,lrp,1.6
0.32,lrp,1.8
0.34,lrp,2.0
0.29,lrp,2.5
0.29,lrp,3.0
0.29,lrp,3.5
0.23,lrp,4.0
0.22,lrp,4.5
0.23,lrp,5.0
0.2,lrp,6.0
0.25,lrp,7.0
0.23,lrp,8.0
0.2,lrp,9.0
0.19,lrp,10.0
0.21,lrp,12.0
0.2,lrp,14.0
0.21,lrp,16.0
0.23,lrp,18.0
0.23,lrp,20.0
0.24,lrp,22.0
0.23,lrp,24.0
0.23,lrp,26.0
0.23,lrp,28.0
0.23,lrp,30.0
0.98,lrp,0.0
0.69,lrp,0.2
0.58,lrp,0.4
0.51,lrp,0.6000000000000001
0.43,lrp,0.8
0.37,lrp,1.0
0.33,lrp,1.2000000000000002
0.29,lrp,1.4000000000000001
0.28,lrp,1.6
0.26,lrp,1.8
0.26,lrp,2.0
0.23,lrp,2.5
0.22,lrp,3.0
0.23,lrp,3.5
0.23,lrp,4.0
0.21,lrp,4.5
0.21,lrp,5.0
0.2,lrp,6.0
0.2,lrp,7.0
0.2,lrp,8.0
0.2,lrp,9.0
0.2,lrp,10.0
0.2,lrp,12.0
0.2,lrp,14.0
0.21,lrp,16.0
0.21,lrp,18.0
0.2,lrp,20.0
0.2,lrp,22.0
0.21,lrp,24.0
0.22,lrp,26.0
0.21,lrp,28.0
0.21,lrp,30.0
1.0,lrp,0.0
0.74,lrp,0.2
0.6,lrp,0.4
0.47,lrp,0.6000000000000001
0.41,lrp,0.8
0.39,lrp,1.0
0.37,lrp,1.2000000000000002
0.31,lrp,1.4000000000000001
0.3,lrp,1.6
0.29,lrp,1.8
0.3,lrp,2.0
0.26,lrp,2.5
0.28,lrp,3.0
0.26,lrp,3.5
0.26,lrp,4.0
0.24,lrp,4.5
0.23,lrp,5.0
0.23,lrp,6.0
0.22,lrp,7.0
0.22,lrp,8.0
0.2,lrp,9.0
0.2,lrp,10.0
0.23,lrp,12.0
0.23,lrp,14.0
0.23,lrp,16.0
0.23,lrp,18.0
0.19,lrp,20.0
0.19,lrp,22.0
0.19,lrp,24.0
0.2,lrp,26.0
0.21,lrp,28.0
0.2,lrp,30.0
1.0,lrp,0.0
0.64,lrp,0.2
0.5,lrp,0.4
0.43,lrp,0.6000000000000001
0.37,lrp,0.8
0.36,lrp,1.0
0.3,lrp,1.2000000000000002
0.29,lrp,1.4000000000000001
0.27,lrp,1.6
0.31,lrp,1.8
0.3,lrp,2.0
0.27,lrp,2.5
0.26,lrp,3.0
0.28,lrp,3.5
0.25,lrp,4.0
0.23,lrp,4.5
0.23,lrp,5.0
0.24,lrp,6.0
0.24,lrp,7.0
0.24,lrp,8.0
0.22,lrp,9.0
0.23,lrp,10.0
0.2,lrp,12.0
0.21,lrp,14.0
0.17,lrp,16.0
0.2,lrp,18.0
0.18,lrp,20.0
0.19,lrp,22.0
0.19,lrp,24.0
0.2,lrp,26.0
0.2,lrp,28.0
0.2,lrp,30.0
0.99,lrp,0.0
0.75,lrp,0.2
0.64,lrp,0.4
0.55,lrp,0.6000000000000001
0.48,lrp,0.8
0.43,lrp,1.0
0.43,lrp,1.2000000000000002
0.4,lrp,1.4000000000000001
0.36,lrp,1.6
0.34,lrp,1.8
0.36,lrp,2.0
0.32,lrp,2.5
