mi,class,fold,attr_method,contrast
0.03473025963425869,footleft,1,lrp,subattr-vs-grpt
0.04350713762493719,footleft,1,guidedbackprop,subattr-vs-grpt
0.03703335761283455,footright,1,lrp,subattr-vs-grpt
0.037442793477446834,footright,1,guidedbackprop,subattr-vs-grpt
0.018999084672858935,handleft,1,lrp,subattr-vs-grpt
0.024817322087952398,handleft,1,guidedbackprop,subattr-vs-grpt
0.022360600846483614,handright,1,lrp,subattr-vs-grpt
0.02312410356584138,handright,1,guidedbackprop,subattr-vs-grpt
0.04163646969830115,tongue,1,lrp,subattr-vs-grpt
0.04718492357165882,tongue,1,guidedbackprop,subattr-vs-grpt
0.030322555676858265,loss,1,lrp,subattr-vs-grpt
0.033072473572933525,loss,1,guidedbackprop,subattr-vs-grpt
0.0468051496696944,reward,1,lrp,subattr-vs-grpt
0.052216770383775035,reward,1,guidedbackprop,subattr-vs-grpt
0.06253813455463142,mental,1,lrp,subattr-vs-grpt
0.0848709420260656,mental,1,guidedbackprop,subattr-vs-grpt
0.04898045353421043,random,1,lrp,subattr-vs-grpt
0.06738684158123309,random,1,guidedbackprop,subattr-vs-grpt
0.06319687547934993,body,1,lrp,subattr-vs-grpt
0.06290451937825026,body,1,guidedbackprop,subattr-vs-grpt
0.056155334248955135,face,1,lrp,subattr-vs-grpt
0.06189550279882283,face,1,guidedbackprop,subattr-vs-grpt
0.0815198038378595,place,1,lrp,subattr-vs-grpt
0.0904676600800931,place,1,guidedbackprop,subattr-vs-grpt
0.06854207998784823,tool,1,lrp,subattr-vs-grpt
0.0774322460468877,tool,1,guidedbackprop,subattr-vs-grpt
0.07545906667652424,match,1,lrp,subattr-vs-grpt
0.0909058202126456,match,1,guidedbackprop,subattr-vs-grpt
0.07366598429679794,relation,1,lrp,subattr-vs-grpt
0.07859461907765652,relation,1,guidedbackprop,subattr-vs-grpt
0.0550852647780431,emotion,1,lrp,subattr-vs-grpt
0.04990773713742369,emotion,1,guidedbackprop,subattr-vs-grpt
0.04089996273603802,neut,1,lrp,subattr-vs-grpt
0.04030408668948837,neut,1,guidedbackprop,subattr-vs-grpt
0.027539373542673218,story,1,lrp,subattr-vs-grpt
0.03233238619092038,story,1,guidedbackprop,subattr-vs-grpt
0.008573631112088087,math,1,lrp,subattr-vs-grpt
0.015490875208304722,math,1,guidedbackprop,subattr-vs-grpt
