mi,class,fold,attr_method,contrast
0.10323734587476796,footleft,1,lrp,subattr-vs-subt
0.13304289104261624,footleft,1,lrp,subattr-vs-subt
0.053819548667296324,footleft,1,lrp,subattr-vs-subt
0.13422338559257918,footleft,1,lrp,subattr-vs-subt
0.16204573014765167,footleft,1,lrp,subattr-vs-subt
0.32629718743134983,footleft,1,lrp,subattr-vs-subt
0.13360554043031447,footleft,1,lrp,subattr-vs-subt
0.11550930874861232,footleft,1,lrp,subattr-vs-subt
0.22281973138851985,footleft,1,lrp,subattr-vs-subt
0.18847671181337322,footleft,1,lrp,subattr-vs-subt
0.13737993930008097,footleft,1,lrp,subattr-vs-subt
0.24930273597378338,footleft,1,lrp,subattr-vs-subt
0.16825491594504216,footleft,1,lrp,subattr-vs-subt
0.20877775638304552,footleft,1,lrp,subattr-vs-subt
0.1433322226675342,footleft,1,lrp,subattr-vs-subt
0.2030388110166852,footleft,1,lrp,subattr-vs-subt
0.19038880013077186,footleft,1,lrp,subattr-vs-subt
0.09974141642564405,footleft,1,lrp,subattr-vs-subt
0.2080353833276538,footleft,1,lrp,subattr-vs-subt
0.2400521650574925,footleft,1,lrp,subattr-vs-subt
0.06948337713373709,footleft,1,guidedbackprop,subattr-vs-subt
0.07849768463279538,footleft,1,guidedbackprop,subattr-vs-subt
0.04729103310973892,footleft,1,guidedbackprop,subattr-vs-subt
0.07461134513923673,footleft,1,guidedbackprop,subattr-vs-subt
0.10485738736890582,footleft,1,guidedbackprop,subattr-vs-subt
0.1432498061117462,footleft,1,guidedbackprop,subattr-vs-subt
0.07309250526484545,footleft,1,guidedbackprop,subattr-vs-subt
0.07883031842871224,footleft,1,guidedbackprop,subattr-vs-subt
0.10663746571595745,footleft,1,guidedbackprop,subattr-vs-subt
0.09097433961575252,footleft,1,guidedbackprop,subattr-vs-subt
0.08880585487795134,footleft,1,guidedbackprop,subattr-vs-subt
0.11525072536478653,footleft,1,guidedbackprop,subattr-vs-subt
0.09866240663322134,footleft,1,guidedbackprop,subattr-vs-subt
0.11471027359808339,footleft,1,guidedbackprop,subattr-vs-subt
0.08014593048921137,footleft,1,guidedbackprop,subattr-vs-subt
0.09766369875802638,footleft,1,guidedbackprop,subattr-vs-subt
0.10585855572651592,footleft,1,guidedbackprop,subattr-vs-subt
0.0744349891397107,footleft,1,guidedbackprop,subattr-vs-subt
0.11822989060796463,footleft,1,guidedbackprop,subattr-vs-subt
0.11835568219738946,footleft,1,guidedbackprop,subattr-vs-subt
0.0951611344546337,footright,1,lrp,subattr-vs-subt
0.12053150325566087,footright,1,lrp,subattr-vs-subt
0.0333917855339223,footright,1,lrp,subattr-vs-subt
0.11206495912036818,footright,1,lrp,subattr-vs-subt
0.11762605670762971,footright,1,lrp,subattr-vs-subt
0.2654923682490704,footright,1,lrp,subattr-vs-subt
0.1454953233178684,footright,1,lrp,subattr-vs-subt
0.13937883492912073,footright,1,lrp,subattr-vs-subt
0.1970146638889374,footright,1,lrp,subattr-vs-subt
0.1877164118052277,footright,1,lrp,subattr-vs-subt
0.14150682674665305,footright,1,lrp,subattr-vs-subt
0.22786676564989516,footright,1,lrp,subattr-vs-subt
0.11232108681098296,footright,1,lrp,subattr-vs-subt
0.09548772009539253,footright,1,lrp,subattr-vs-subt
0.12644918004637962,footright,1,lrp,subattr-vs-subt
0.2143163151225176,footright,1,lrp,subattr-vs-subt
0.11867904504093518,footright,1,lrp,subattr-vs-subt
0.07332944529328644,footright,1,lrp,subattr-vs-subt
0.23169044728307187,footright,1,lrp,subattr-vs-subt
0.2204713897373658,footright,1,lrp,subattr-vs-subt
0.069100684684686,footright,1,guidedbackprop,subattr-vs-subt
0.0848589743122079,footright,1,guidedbackprop,subattr-vs-subt
0.04242602862458478,footright,1,guidedbackprop,subattr-vs-subt
0.0649217425912707,footright,1,guidedbackprop,subattr-vs-subt
0.07485997530922095,footright,1,guidedbackprop,subattr-vs-subt
0.12975471646185444,footright,1,guidedbackprop,subattr-vs-subt
0.09086098363968631,footright,1,guidedbackprop,subattr-vs-subt
0.09138900763129865,footright,1,guidedbackprop,subattr-vs-subt
0.10459243022104481,footright,1,guidedbackprop,subattr-vs-subt
0.10225723447623203,footright,1,guidedbackprop,subattr-vs-subt
0.09232848802053395,footright,1,guidedbackprop,subattr-vs-subt
0.11690251401154228,footright,1,guidedbackprop,subattr-vs-subt
0.07470893423928482,footright,1,guidedbackprop,subattr-vs-subt
0.07788023321626403,footright,1,guidedbackprop,subattr-vs-subt
0.08880025798626967,footright,1,guidedbackprop,subattr-vs-subt
0.10534359833013252,footright,1,guidedbackprop,subattr-vs-subt
0.0904406400951121,footright,1,guidedbackprop,subattr-vs-subt
0.0630916118019984,footright,1,guidedbackprop,subattr-vs-subt
0.13941572077665754,footright,1,guidedbackprop,subattr-vs-subt
0.12762314029763022,footright,1,guidedbackprop,subattr-vs-subt
0.08835593076065207,handleft,1,lrp,subattr-vs-subt
0.05990348046499383,handleft,1,lrp,subattr-vs-subt
0.0625525388818895,handleft,1,lrp,subattr-vs-subt
0.05731596434898778,handleft,1,lrp,subattr-vs-subt
0.1048654167049885,handleft,1,lrp,subattr-vs-subt
0.12785559420665527,handleft,1,lrp,subattr-vs-subt
0.14460738317507404,handleft,1,lrp,subattr-vs-subt
0.0324530059442556,handleft,1,lrp,subattr-vs-subt
0.12245117131578187,handleft,1,lrp,subattr-vs-subt
0.15200960233179472,handleft,1,lrp,subattr-vs-subt
0.04761125705420666,handleft,1,lrp,subattr-vs-subt
0.23707046150933397,handleft,1,lrp,subattr-vs-subt
0.04942751296967263,handleft,1,lrp,subattr-vs-subt
0.14503087714817875,handleft,1,lrp,subattr-vs-subt
