mi,class,attr_method,contrast
0.02338865267431789,footleft,tscore,subt-vs-grpt
0.032359948462166166,footleft,tscore,subt-vs-grpt
0.015579105008263205,footleft,tscore,subt-vs-grpt
0.021975559703672154,footleft,tscore,subt-vs-grpt
0.024069879298688868,footleft,tscore,subt-vs-grpt
0.024876945204998613,footleft,tscore,subt-vs-grpt
0.02443652377061145,footleft,tscore,subt-vs-grpt
0.028202130661195923,footleft,tscore,subt-vs-grpt
0.01961038843384788,footleft,tscore,subt-vs-grpt
0.030089499962725696,footleft,tscore,subt-vs-grpt
0.024904413139516635,footleft,tscore,subt-vs-grpt
0.03338986926928289,footleft,tscore,subt-vs-grpt
0.02528576298350238,footleft,tscore,subt-vs-grpt
0.025059072328704524,footleft,tscore,subt-vs-grpt
0.028490738703897733,footleft,tscore,subt-vs-grpt
0.020789289763196273,footleft,tscore,subt-vs-grpt
0.03749799559305966,footleft,tscore,subt-vs-grpt
0.02075379000648958,footleft,tscore,subt-vs-grpt
0.0273265297552836,footleft,tscore,subt-vs-grpt
0.022183947646990276,footleft,tscore,subt-vs-grpt
0.029471675602738223,footright,tscore,subt-vs-grpt
0.038770751004703286,footright,tscore,subt-vs-grpt
0.01212956844555002,footright,tscore,subt-vs-grpt
0.02032333260050745,footright,tscore,subt-vs-grpt
0.023230223154532936,footright,tscore,subt-vs-grpt
0.028256881219363983,footright,tscore,subt-vs-grpt
0.02198195806647174,footright,tscore,subt-vs-grpt
0.027279315559917805,footright,tscore,subt-vs-grpt
0.018014531802028166,footright,tscore,subt-vs-grpt
0.02991154321515488,footright,tscore,subt-vs-grpt
0.03537433754038588,footright,tscore,subt-vs-grpt
0.03146274838789953,footright,tscore,subt-vs-grpt
0.028987159926275652,footright,tscore,subt-vs-grpt
0.026703357204133304,footright,tscore,subt-vs-grpt
0.03288268815950346,footright,tscore,subt-vs-grpt
0.02518980616363109,footright,tscore,subt-vs-grpt
0.03859667863701599,footright,tscore,subt-vs-grpt
0.022296006826129755,footright,tscore,subt-vs-grpt
0.025543741379733476,footright,tscore,subt-vs-grpt
0.022749042231398064,footright,tscore,subt-vs-grpt
0.02443818974294043,handleft,tscore,subt-vs-grpt
0.032620017497535514,handleft,tscore,subt-vs-grpt
0.020585652791988984,handleft,tscore,subt-vs-grpt
0.03855640456689979,handleft,tscore,subt-vs-grpt
0.01898638576598355,handleft,tscore,subt-vs-grpt
0.025913631693956773,handleft,tscore,subt-vs-grpt
0.025292985674759905,handleft,tscore,subt-vs-grpt
0.02259639569183225,handleft,tscore,subt-vs-grpt
0.01980453366582058,handleft,tscore,subt-vs-grpt
0.016894376356866303,handleft,tscore,subt-vs-grpt
0.029590147451308724,handleft,tscore,subt-vs-grpt
0.0229478789340698,handleft,tscore,subt-vs-grpt
0.02870372234491292,handleft,tscore,subt-vs-grpt
0.02422251764815453,handleft,tscore,subt-vs-grpt
0.02193432333309353,handleft,tscore,subt-vs-grpt
0.026236221657518932,handleft,tscore,subt-vs-grpt
0.030533420856948545,handleft,tscore,subt-vs-grpt
0.021718534816893786,handleft,tscore,subt-vs-grpt
0.031114647262516115,handleft,tscore,subt-vs-grpt
0.02243341738932436,handleft,tscore,subt-vs-grpt
0.02777306955491987,handright,tscore,subt-vs-grpt
0.02851420749272293,handright,tscore,subt-vs-grpt
0.012281066173745359,handright,tscore,subt-vs-grpt
0.02835958913060921,handright,tscore,subt-vs-grpt
0.020972309595099325,handright,tscore,subt-vs-grpt
0.031072085276667494,handright,tscore,subt-vs-grpt
0.022185062888226526,handright,tscore,subt-vs-grpt
0.018495055829250262,handright,tscore,subt-vs-grpt
0.01970782664848425,handright,tscore,subt-vs-grpt
0.028122631628104244,handright,tscore,subt-vs-grpt
0.02705682615393812,handright,tscore,subt-vs-grpt
