accuracy,algorithm,prct_occluded
0.9026315789473685,lrp,0.0
0.4552631578947368,lrp,0.2
0.2736842105263158,lrp,0.4
0.2,lrp,0.6000000000000001
0.1763157894736842,lrp,0.8
0.1578947368421052,lrp,1.0
0.1447368421052631,lrp,1.2000000000000002
0.1368421052631579,lrp,1.4
0.1210526315789473,lrp,1.6
0.1236842105263157,lrp,1.8
0.1157894736842105,lrp,2.0
0.1,lrp,2.5
0.1026315789473684,lrp,3.0
0.1052631578947368,lrp,3.5
0.1078947368421052,lrp,4.0
0.1157894736842105,lrp,4.5
0.1157894736842105,lrp,5.0
0.1184210526315789,lrp,6.0
0.1157894736842105,lrp,7.0
0.1131578947368421,lrp,8.0
0.1105263157894736,lrp,9.0
0.1105263157894736,lrp,10.0
0.1105263157894736,lrp,12.0
0.1078947368421052,lrp,14.0
0.1,lrp,16.0
0.1078947368421052,lrp,18.0
0.1078947368421052,lrp,20.0
0.1078947368421052,lrp,22.0
0.1131578947368421,lrp,24.0
0.1184210526315789,lrp,26.0
0.1078947368421052,lrp,28.0
0.1078947368421052,lrp,30.0
0.9026315789473685,guidedbackprop,0.0
0.4368421052631579,guidedbackprop,0.2
0.2105263157894736,guidedbackprop,0.4
0.1447368421052631,guidedbackprop,0.6000000000000001
0.1052631578947368,guidedbackprop,0.8
0.0710526315789473,guidedbackprop,1.0
0.0763157894736842,guidedbackprop,1.2000000000000002
0.0736842105263157,guidedbackprop,1.4
0.0552631578947368,guidedbackprop,1.6
0.0605263157894736,guidedbackprop,1.8
0.0342105263157894,guidedbackprop,2.0
0.0342105263157894,guidedbackprop,2.5
0.0236842105263157,guidedbackprop,3.0
0.0368421052631578,guidedbackprop,3.5
0.0473684210526315,guidedbackprop,4.0
0.0526315789473684,guidedbackprop,4.5
0.0447368421052631,guidedbackprop,5.0
0.05,guidedbackprop,6.0
0.0526315789473684,guidedbackprop,7.0
0.0526315789473684,guidedbackprop,8.0
0.0526315789473684,guidedbackprop,9.0
0.0526315789473684,guidedbackprop,10.0
0.0526315789473684,guidedbackprop,12.0
0.0526315789473684,guidedbackprop,14.0
0.0526315789473684,guidedbackprop,16.0
0.0526315789473684,guidedbackprop,18.0
0.0526315789473684,guidedbackprop,20.0
0.0526315789473684,guidedbackprop,22.0
0.0526315789473684,guidedbackprop,24.0
0.0526315789473684,guidedbackprop,26.0
0.0526315789473684,guidedbackprop,28.0
0.0526315789473684,guidedbackprop,30.0
0.9052631578947369,svm,0.0
0.7947368421052632,svm,0.2
0.6868421052631579,svm,0.4
0.5631578947368421,svm,0.6000000000000001
0.46578947368421053,svm,0.8
0.4236842105263158,svm,1.0
0.3763157894736842,svm,1.2000000000000002
0.34210526315789475,svm,1.4000000000000001
0.32105263157894737,svm,1.6
0.3078947368421053,svm,1.8
0.2868421052631579,svm,2.0
0.25263157894736843,svm,2.5
0.24473684210526317,svm,3.0
0.2394736842105263,svm,3.5
0.22631578947368422,svm,4.0
0.22894736842105262,svm,4.5
0.2236842105263158,svm,5.0
0.21578947368421053,svm,6.0
0.21052631578947367,svm,7.0
0.21052631578947367,svm,8.0
0.20789473684210527,svm,9.0
0.21052631578947367,svm,10.0
0.21578947368421053,svm,12.0
0.2131578947368421,svm,14.0
0.2236842105263158,svm,16.0
0.2236842105263158,svm,18.0
0.22631578947368422,svm,20.0
0.2236842105263158,svm,22.0
0.2236842105263158,svm,24.0
0.2236842105263158,svm,26.0
0.22894736842105262,svm,28.0
0.23157894736842105,svm,30.0
