,acc,sample_size,task,learning_scheme,hp_optim
0,0.7075844367253556,1,emotion,scratch,full-hcp
0,0.74096470220302,1,emotion,scratch,full-hcp
0,0.6126041480486224,1,emotion,scratch,full-hcp
0,0.6435011087932844,1,emotion,scratch,full-hcp
0,0.5527151130967832,1,emotion,scratch,full-hcp
0,0.848062078981481,1,emotion,scratch,full-hcp
0,0.5235987755982989,1,emotion,scratch,full-hcp
0,0.5527151130967832,1,emotion,scratch,full-hcp
0,0.8867150949995675,1,emotion,scratch,full-hcp
0,0.74096470220302,1,emotion,scratch,full-hcp
0,0.5823642378687435,1,emotion,scratch,full-hcp
0,0.7075844367253556,1,emotion,scratch,full-hcp
0,0.6126041480486224,1,emotion,scratch,full-hcp
0,0.5235987755982989,1,emotion,scratch,full-hcp
0,0.6435011087932844,1,emotion,scratch,full-hcp
0,0.5235987755982989,1,emotion,scratch,full-hcp
0,0.5235987755982989,1,emotion,scratch,full-hcp
0,0.7075844367253556,1,emotion,scratch,full-hcp
0,0.5235987755982989,1,emotion,scratch,full-hcp
0,0.5235987755982989,1,emotion,scratch,full-hcp
1,1.015985293814825,10,emotion,scratch,full-hcp
1,0.8867150949995675,10,emotion,scratch,full-hcp
1,0.9702021999288456,10,emotion,scratch,full-hcp
1,0.9702021999288456,10,emotion,scratch,full-hcp
1,0.9702021999288456,10,emotion,scratch,full-hcp
1,0.9702021999288456,10,emotion,scratch,full-hcp
1,0.8110343942875815,10,emotion,scratch,full-hcp
1,1.015985293814825,10,emotion,scratch,full-hcp
1,0.9272952180016123,10,emotion,scratch,full-hcp
1,1.1197695149986342,10,emotion,scratch,full-hcp
1,1.1197695149986342,10,emotion,scratch,full-hcp
1,0.848062078981481,10,emotion,scratch,full-hcp
1,1.0654358165107394,10,emotion,scratch,full-hcp
1,0.9702021999288456,10,emotion,scratch,full-hcp
1,1.0654358165107394,10,emotion,scratch,full-hcp
1,0.8110343942875815,10,emotion,scratch,full-hcp
1,1.1197695149986342,10,emotion,scratch,full-hcp
1,1.015985293814825,10,emotion,scratch,full-hcp
