emotion_scratch_001,emotion_scratch_010,emotion_scratch_025,emotion_scratch_050,emotion_scratch_075,emotion_scratch_120,emotion_pretrained_001,emotion_pretrained_010,emotion_pretrained_025,emotion_pretrained_050,emotion_pretrained_075,emotion_pretrained_120,gambling_scratch_001,gambling_scratch_010,gambling_scratch_025,gambling_scratch_050,gambling_scratch_075,gambling_scratch_120,gambling_pretrained_001,gambling_pretrained_010,gambling_pretrained_025,gambling_pretrained_050,gambling_pretrained_075,gambling_pretrained_120,language_scratch_001,language_scratch_010,language_scratch_025,language_scratch_050,language_scratch_075,language_scratch_120,language_pretrained_001,language_pretrained_010,language_pretrained_025,language_pretrained_050,language_pretrained_075,language_pretrained_120,motor_scratch_001,motor_scratch_010,motor_scratch_025,motor_scratch_050,motor_scratch_075,motor_scratch_120,motor_pretrained_001,motor_pretrained_010,motor_pretrained_025,motor_pretrained_050,motor_pretrained_075,motor_pretrained_120,relational_scratch_001,relational_scratch_010,relational_scratch_025,relational_scratch_050,relational_scratch_075,relational_scratch_120,relational_pretrained_001,relational_pretrained_010,relational_pretrained_025,relational_pretrained_050,relational_pretrained_075,relational_pretrained_120,social_scratch_001,social_scratch_010,social_scratch_025,social_scratch_050,social_scratch_075,social_scratch_120,social_pretrained_001,social_pretrained_010,social_pretrained_025,social_pretrained_050,social_pretrained_075,social_pretrained_120,wm_scratch_001,wm_scratch_010,wm_scratch_025,wm_scratch_050,wm_scratch_075,wm_scratch_120,wm_pretrained_001,wm_pretrained_010,wm_pretrained_025,wm_pretrained_050,wm_pretrained_075,wm_pretrained_120
0.65,0.85,0.775,0.825,0.975,0.5,0.95,0.975,0.95,0.975,0.95,0.95,0.425,0.625,0.5,0.5,0.5,0.5,0.525,0.425,0.475,0.6,0.55,0.525,0.6,0.9,0.875,0.925,0.925,0.975,0.9,0.925,0.925,0.925,1.0,0.95,0.23,0.99,0.99,0.99,1.0,1.0,0.33,0.99,0.99,1.0,1.0,1.0,0.55,0.5,0.725,0.575,0.575,0.5,0.6,0.6,0.65,0.775,0.75,0.725,0.65,0.85,0.5,0.825,0.525,0.5,0.575,0.85,0.9,0.925,0.9,0.9,0.35,0.5875,0.7375,0.7375,0.25,0.25,0.425,0.6,0.8375,0.8375,0.8,0.85
0.675,0.775,0.925,0.85,0.925,0.875,0.825,0.95,0.925,0.925,0.925,0.925,0.575,0.475,0.575,0.5,0.5,0.5,0.55,0.55,0.575,0.55,0.575,0.65,0.5,0.925,0.95,0.9,0.975,0.925,0.925,0.95,0.925,0.925,1.0,1.0,0.39,0.97,0.99,0.99,0.98,0.99,0.2,0.99,0.99,1.0,0.98,0.99,0.5,0.5,0.5,0.5,0.5,0.5,0.525,0.475,0.6,0.625,0.8,0.725,0.625,0.95,0.725,0.5,0.9,0.8,0.7,0.875,0.875,0.975,0.925,0.9,0.275,0.3125,0.6875,0.8,0.25,0.25,0.375,0.6875,0.7125,0.8625,0.8125,0.825
0.575,0.825,0.875,0.85,0.85,0.875,0.975,0.975,0.95,0.925,0.95,0.975,0.5,0.525,0.475,0.5,0.5,0.525,0.575,0.525,0.6,0.5,0.575,0.5,0.55,0.95,0.925,0.925,0.925,0.95,0.675,0.95,0.9,0.9,0.925,1.0,0.17,0.99,0.98,0.99,0.99,1.0,0.25,0.99,1.0,1.0,1.0,1.0,0.475,0.725,0.525,0.5,0.5,0.5,0.65,0.5,0.725,0.625,0.775,0.525,0.675,0.775,0.85,0.925,0.975,0.85,0.525,0.75,0.925,0.925,0.925,0.95,0.35,0.35,0.2625,0.25,0.8375,0.25,0.4,0.5875,0.6875,0.75,0.85,0.8625
0.6,0.825,0.85,0.825,0.925,0.95,0.9,0.925,0.95,0.95,0.95,0.95,0.625,0.575,0.5,0.5,0.5,0.5,0.525,0.45,0.5,0.525,0.6,0.5,0.675,0.775,0.9,0.925,0.95,0.925,0.775,0.95,0.95,0.975,0.975,0.95,0.27,0.99,1.0,0.96,0.99,0.99,0.31,1.0,1.0,1.0,1.0,1.0,0.425,0.575,0.575,0.5,0.5,0.5,0.45,0.55,0.725,0.7,0.825,0.85,0.525,0.875,0.575,0.625,0.8,0.475,0.525,0.65,0.9,0.9,0.875,0.95,0.25,0.5375,0.25,0.25,0.25,0.25,0.2375,0.6125,0.75,0.825,0.8,0.8875
0.525,0.825,0.875,0.85,0.9,0.9,0.35,0.9,0.95,0.95,0.925,0.975,0.475,0.475,0.6,0.5,0.475,0.5,0.425,0.525,0.5,0.5,0.475,0.5,0.7,0.975,0.9,0.95,0.95,0.975,0.8,0.95,0.9,0.925,0.925,1.0,0.27,0.99,0.99,0.99,1.0,0.99,0.32,0.97,1.0,0.99,0.99,1.0,0.6,0.7,0.525,0.6,0.5,0.55,0.525,0.525,0.675,0.675,0.8,0.875,0.5,0.9,0.5,0.925,0.9,0.875,0.55,0.725,0.85,0.9,0.9,0.875,0.2875,0.6625,0.25,0.8,0.25,0.25,0.2375,0.65,0.8125,0.8125,0.8375,0.8625
0.75,0.825,0.825,0.8,0.9,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.65,0.475,0.5,0.5,0.5,0.5,0.525,0.5,0.55,0.525,0.5,0.55,0.7,0.925,0.925,0.95,0.925,0.95,0.9,0.925,0.95,1.0,0.975,0.95,0.25,0.98,0.99,0.99,0.99,1.0,0.59,1.0,0.99,1.0,0.99,0.99,0.5,0.55,0.5,0.65,0.5,0.575,0.45,0.45,0.775,0.825,0.625,0.825,0.55,0.775,0.625,0.75,0.95,0.95,0.875,0.75,0.9,0.9,0.925,0.975,0.25,0.3875,0.6625,0.25,0.25,0.8125,0.425,0.525,0.8,0.8375,0.775,0.8625
0.5,0.725,0.8,0.925,0.95,0.9,0.875,0.925,0.975,0.95,0.95,1.0,0.5,0.525,0.525,0.5,0.5,0.475,0.5,0.55,0.5,0.475,0.5,0.55,0.825,0.85,0.95,0.925,0.95,0.975,0.65,0.925,0.925,0.9,0.975,0.975,0.57,0.99,0.98,0.99,1.0,1.0,0.41,1.0,0.99,0.99,1.0,1.0,0.5,0.7,0.725,0.5,0.5,0.525,0.5,0.525,0.65,0.625,0.75,0.65,0.5,0.725,0.5,0.5,0.925,0.9,0.55,0.775,0.95,0.85,0.975,0.925,0.325,0.4875,0.25,0.25,0.25,0.8625,0.4,0.675,0.7625,0.8375,0.825,0.7875
0.525,0.85,0.85,0.875,0.925,0.8,0.775,0.925,0.95,0.95,0.95,0.925,0.65,0.6,0.55,0.475,0.5,0.5,0.5,0.6,0.5,0.475,0.65,0.6,0.7,0.95,0.925,0.925,0.925,1.0,0.725,0.875,0.9,0.95,0.975,1.0,0.23,0.99,0.99,0.99,0.99,1.0,0.23,1.0,0.98,1.0,0.99,1.0,0.525,0.525,0.625,0.5,0.575,0.575,0.5,0.525,0.625,0.825,0.775,0.8,0.6,0.525,0.9,0.525,0.5,0.5,0.675,0.775,0.9,0.9,0.925,0.85,0.275,0.25,0.2875,0.3125,0.7875,0.25,0.375,0.775,0.85,0.775,0.825,0.7625
0.775,0.8,0.9,0.875,0.85,0.975,0.825,0.95,0.95,0.975,0.95,0.925,0.5,0.675,0.5,0.55,0.475,0.5,0.4,0.425,0.575,0.6,0.55,0.425,0.6,0.875,0.95,0.925,0.925,0.95,0.875,0.9,0.9,0.95,1.0,0.95,0.2,0.98,0.97,0.98,1.0,1.0,0.31,0.98,1.0,1.0,0.99,0.99,0.475,0.6,0.575,0.625,0.5,0.5,0.575,0.525,0.625,0.875,0.775,0.75,0.575,0.775,0.5,0.875,0.725,0.925,0.675,0.8,0.9,0.9,0.95,0.95,0.2375,0.275,0.675,0.25,0.25,0.275,0.425,0.6875,0.7,0.775,0.875,0.8375
0.675,0.9,0.85,0.9,0.825,0.875,0.825,0.95,0.95,0.975,0.95,0.95,0.55,0.575,0.5,0.55,0.5,0.5,0.475,0.6,0.55,0.525,0.6,0.575,0.725,0.925,0.95,0.9,0.95,0.95,0.725,0.925,0.925,0.975,0.925,1.0,0.83,0.99,0.98,1.0,0.99,0.99,0.45,1.0,0.98,1.0,1.0,1.0,0.5,0.65,0.5,0.625,0.5,0.5,0.5,0.6,0.6,0.675,0.8,0.8,0.5,0.85,0.5,0.825,0.55,0.925,0.475,0.825,0.9,0.95,0.95,0.925,0.45,0.6,0.675,0.75,0.85,0.825,0.375,0.7,0.7,0.775,0.85,0.8125
