,mean_diff,sem,t_df19,p,sidak_sig
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*010,-0.34165320164431645,0.03360906523071593,-10.165507409949427,4.037509040378035e-09,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*025,-0.40213872393459776,0.028336604519496513,-14.191492973616974,1.4526923066441137e-11,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*050,-0.4112220178406066,0.035528590734785946,-11.574397107678696,4.756102034077322e-10,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*075,-0.45332666225397655,0.03509620916353654,-12.916684538253879,7.400552917871285e-11,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*120,-0.4846792314531271,0.04751894100241167,-10.199706079908825,3.823760802726318e-09,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*001,-0.32392487263889574,0.06151237143821393,-5.266011780479996,4.403945178908786e-05,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*010,-0.5857457558050456,0.026127963229530007,-22.418347372099472,3.960251862446174e-15,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*025,-0.6135324547567103,0.032475662703988634,-18.89206881931794,8.951148794031449e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*050,-0.6234399896051712,0.025186241877436125,-24.753196314043944,6.397555829791581e-16,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*075,-0.6382537690455597,0.03515850877043366,-18.153607515410197,1.8383916417567072e-13,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*120,-0.6728288193080764,0.039964225688058304,-16.835777691775075,7.105651008541415e-13,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*001,0.04903980373581453,0.03463140179710061,1.4160502085110576,0.17294619051268456,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*010,0.04543754981224434,0.030097268341423535,1.5096901584821782,0.1475737679379214,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*025,0.07481834531326274,0.03009548214967314,2.4860324530163846,0.022389470988316246,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*050,0.08454582573806182,0.030012093722765545,2.817058567091238,0.011006636184266711,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*075,0.10744102855775069,0.026604798134561885,4.038407959885089,0.0007018382237791599,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*120,0.1104300207158007,0.024895191457382407,4.435797206253413,0.00028366901365583824,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*001,0.1068483763711996,0.029630979779099145,3.605968387402681,0.0018827051822468738,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*010,0.09625987810010292,0.03257965346647254,2.9546010426158515,0.008138841355642766,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*025,0.07178347091376842,0.025173428916264066,2.851557137986495,0.010207422650771153,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*050,0.08799257414247155,0.02273480811915785,3.8703900064290933,0.0010301710094863144,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*075,0.05344073280651311,0.025819454561060683,2.0697855053494876,0.05234657104381602,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*120,0.06538429516277226,0.029879884509789532,2.1882378809513288,0.041349167328775846,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*001,-0.09396975343439001,0.04840739007233977,-1.9412274302324928,0.0672114216826001,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*010,-0.4980045249585559,0.034466540239845606,-14.448927031638341,1.0612473624601667e-11,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*025,-0.5430306457798901,0.02605755675655048,-20.839660865110858,1.5059882802279767e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*050,-0.5527795780791991,0.028486246993743206,-19.405138844741924,5.5099860849226826e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*075,-0.594042337403961,0.028089282747169413,-21.1483626246677,1.1514963637722788e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*120,-0.649730767492905,0.033474857876225686,-19.409515341194407,5.487503740122985e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*001,-0.31682305634978597,0.05382392509646368,-5.886286735535787,1.1439871118462222e-05,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*010,-0.5475463004302232,0.02796439133023703,-19.58012580943174,4.682042013791448e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*025,-0.5408729813049862,0.027137700069459418,-19.9306860905903,3.3922101508136254e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*050,-0.6151413272933803,0.02590086913516148,-23.749833416142046,1.371743922517071e-15,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*075,-0.7225913677501794,0.03018984735507547,-23.93491292789523,1.1890277877169254e-15,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*120,-0.7854565006870318,0.04233412927104936,-18.55374172592642,1.240757918384898e-13,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*001,0.17585122634835587,0.0678275436897092,2.5926226541952166,0.017864120933218784,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*010,-0.756760157937735,0.028097358643108954,-26.93349818216222,1.34230290307662e-16,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*025,-0.7776987065490035,0.027338576006313682,-28.44693543545935,4.865651931267365e-17,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*050,-0.7963656561138939,0.029313414606239038,-27.16727705766479,1.1435524378646827e-16,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*075,-0.8418030246891306,0.030647969933974988,-27.466844508873812,9.330518069169211e-17,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*120,-0.8801276614701722,0.027721482613485886,-31.74893903553375,6.291830126303006e-18,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*001,0.2775063002691584,0.03938226494636604,7.046478932765522,1.0459189546167081e-06,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*010,-0.8348236326680313,0.03030848575939998,-27.544221090264006,8.855938860623071e-17,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*025,-0.8459402299054174,0.03191342794684192,-26.507344535801575,1.803869802152405e-16,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*050,-0.8801276614701722,0.022789164562284615,-38.620444337251264,1.6059927731795765e-19,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*075,-0.8842648666864589,0.032868678102579624,-26.902964090212663,1.3708272925429378e-16,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*120,-0.8942816088026149,0.033119612529359556,-27.001572195624593,1.2809323472652526e-16,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*001,0.0815525265908745,0.02961757192799422,2.7535183096421187,0.012638176183512193,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*010,0.0014818927893097689,0.04039248269225008,0.036687341072849995,0.9711170207938709,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*025,0.019166537694310093,0.04125870077886917,0.4645453524345178,0.6475361840906328,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*050,0.03455592550755329,0.02188330372236523,1.5791000273983473,0.13081740572618997,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*075,0.03523694485300198,0.04497422195807477,0.7834920387472198,0.4429959742142827,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*120,0.08371342296875314,0.02581688136034588,3.2425846406582233,0.00428451917556387,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*001,0.08741946209526856,0.028128592307170932,3.10785058635808,0.005792839291271227,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*010,0.053515980680593433,0.03199297961282677,1.6727413741462696,0.11076435073223644,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*025,-0.0730018925768117,0.028953017990666213,-2.521391469460829,0.020780541440054704,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*050,-0.16479934613467845,0.030736840153869273,-5.361622902994889,3.567702923217078e-05,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*075,-0.28345993473352615,0.03905467489606759,-7.258028276713876,6.894067158811325e-07,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*120,-0.2536927299249171,0.04438846836049756,-5.715284606456139,1.6515356490005976e-05,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*001,0.05879451429520253,0.025318640494227947,2.3221829113852417,0.03148568066669951,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*010,-0.35075044360020363,0.04571833180865477,-7.671986919124733,3.10345131678876e-07,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*025,-0.20704885298490866,0.07559247119774687,-2.7390142127154062,0.013041763162171623,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*050,-0.2874995433456481,0.07195119218096319,-3.9957578829627036,0.0007736529355309371,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*075,-0.27603612677510747,0.0652054209537399,-4.233330952206285,0.00044978865862383837,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*120,-0.37886429184898684,0.0627526992490992,-6.037418252640747,8.29433915140055e-06,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*001,-0.024601728306337854,0.03806812754796879,-0.6462552768149095,0.5258438737085542,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*010,-0.2925555344204692,0.04005218720155419,-7.304358509767398,6.297696634790979e-07,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*025,-0.4833980121127153,0.029809107244438658,-16.21645385582289,1.3857951452914923e-12,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*050,-0.5378414347206998,0.029730794374505768,-18.090382246291412,1.9576134061563495e-13,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*075,-0.5541781299047988,0.031722773378754794,-17.46940985544284,3.66753291622691e-13,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*120,-0.5526721810372204,0.027676518682038933,-19.968992032075363,3.2758682383882304e-14,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*001,0.33541274880997124,0.0283096082116732,11.848018040449848,3.212257822112136e-10,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*010,0.12320610290859005,0.05076637103065708,2.4269235796702437,0.025342600425406432,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*025,0.11927104313696693,0.05171270425672381,2.3064166697772146,0.03252189581576353,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*050,0.13853636117030793,0.0792319846764259,1.7484903569697785,0.09651846794158833,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*075,0.10407132731734,0.08666304637127367,1.2008731711494125,0.24455792218740363,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*120,0.07161757004529443,0.09200745813928883,0.7783887468869489,0.4459259759253088,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*001,0.28690281683704477,0.02479512468899001,11.570936643220053,4.779983905266202e-10,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*010,-0.09543210103167062,0.03558393102254141,-2.6818875343260156,0.01475413022675372,False
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*025,-0.2563793272692115,0.03640678668336452,-7.042075135577942,1.0551016380531897e-06,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*050,-0.31612803620677654,0.02989233447675816,-10.575555296712336,2.120900346911129e-09,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*075,-0.34843729332679,0.02896036170042138,-12.031524223736476,2.4785637439045065e-10,True
full-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*120,-0.3749339483715217,0.027779386190386886,-13.49684063578296,3.4727935860254023e-11,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001,0.026738464166656574,0.025265716556115456,1.0582903559164898,0.30319298996794436,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*010,-0.3393708145982717,0.03724140458237511,-9.112728652529999,2.300049708626223e-08,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*025,-0.46707189390631776,0.02767846220723195,-16.874922111253678,6.816868902043585e-13,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*050,-0.5175387569945409,0.03354704367258409,-15.42725380053364,3.3549372043447373e-12,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*075,-0.5357739212576089,0.03414490613106777,-15.691181554314449,2.485513801589957e-12,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*120,-0.6055633067673559,0.04066473811394984,-14.891607197136242,6.2525147345613874e-12,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*pretrained.*001,-0.33613088734601126,0.06212966175136784,-5.410151574479013,3.2072367043693515e-05,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*pretrained.*010,-0.4838821030643775,0.05127886944294956,-9.436286492289419,1.3289398630042024e-08,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*pretrained.*025,-0.6009332539846322,0.03538623489276475,-16.982119058603267,6.087346908584425e-13,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*pretrained.*050,-0.6847231068581568,0.04007852677789598,-17.084537828765548,5.466601546278111e-13,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*pretrained.*075,-0.6331622227433396,0.03181578328581943,-19.90088432069329,3.4857214577826615e-14,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*pretrained.*120,-0.6531969706085714,0.04139539654916827,-15.779459192587339,2.2504346540492373e-12,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*scratch.*001,0.07004806306301983,0.030292863704013254,2.312361873325952,0.032127505071132746,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*scratch.*010,0.08343418262154811,0.0251393530606206,3.3188675309327325,0.0036086034630518717,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*scratch.*025,0.05207884998983361,0.034979750701757184,1.4888285063511748,0.1529439316424092,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*scratch.*050,0.04582018801785009,0.024560084493873445,1.865636416246044,0.07760949532563845,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*scratch.*075,0.00634896837428065,0.023895788150927005,0.265694035039993,0.7933364288255979,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*scratch.*120,0.0033077766132405873,0.031125142112497978,0.106273462183242,0.9164794322827143,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*pretrained.*001,0.10942211683655782,0.024941525540296588,4.38714611340717,0.0003168483377629175,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*pretrained.*010,0.0998377642517339,0.022501597673491965,4.436918911289037,0.0002829468501698014,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*pretrained.*025,0.08635733798383169,0.027256008721289204,3.1683779847186297,0.005060193078786693,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*pretrained.*050,0.057824975551032665,0.022322192437217798,2.590470255718299,0.017946275938095124,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*pretrained.*075,0.058419317982096194,0.029720518227440894,1.965622454327117,0.06413021595743439,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*gambling.*pretrained.*120,0.038795829417609784,0.02639361853469152,1.4698942991320767,0.1579559771578448,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*language.*scratch.*001,-0.11655914657776982,0.05180409190319475,-2.249998837844345,0.03649342485166504,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*language.*scratch.*010,-0.5148146996520468,0.028953748437639103,-17.780588954168067,2.671063420094338e-13,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*language.*scratch.*025,-0.5301038735712752,0.020306925664869212,-26.104585318315802,2.395125221894181e-16,True
