,mean_diff,sem,t_df19,p,sidak_sig
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010,0.02445607712061178,0.040193943316912784,0.6084517990132402,0.5500933922616338,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*025 - motor-hcp.*emotion.*scratch.*025,0.09167163413837658,0.03653983281744844,2.5088137265532775,0.021339984061089477,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*050 - motor-hcp.*emotion.*scratch.*050,0.13305520332059095,0.032826873278080385,4.053240227708084,0.0006784604870912348,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*075 - motor-hcp.*emotion.*scratch.*075,0.10918572317028878,0.04135046886029834,2.6404954086293526,0.01612627942383343,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*scratch.*120 - motor-hcp.*emotion.*scratch.*120,0.14762253948088538,0.06257223431757994,2.359233949224827,0.02916976627682174,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*001 - motor-hcp.*emotion.*pretrained.*001,0.038944478873772156,0.0716462192241713,0.543566419770458,0.5930611004027129,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*010 - motor-hcp.*emotion.*pretrained.*010,-0.07512518857401154,0.04300237295038798,-1.7470010006350996,0.09678256781361023,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*025 - motor-hcp.*emotion.*pretrained.*025,0.014139263394578504,0.045454966866056476,0.31106091081846127,0.7591412712063781,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*050 - motor-hcp.*emotion.*pretrained.*050,0.08802158141964214,0.031339567230731745,2.808640616240792,0.011210573328576133,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*075 - motor-hcp.*emotion.*pretrained.*075,0.021646917864436198,0.04612883991435468,0.46927080552268485,0.64421628535694,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*emotion.*pretrained.*120 - motor-hcp.*emotion.*pretrained.*120,0.00710661546715165,0.04618932885858525,0.15385838337052904,0.879343847802873,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*001 - motor-hcp.*gambling.*scratch.*001,0.00573020483945128,0.03049724311770769,0.18789255203609326,0.8529530078219849,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*010 - motor-hcp.*gambling.*scratch.*010,-0.011258168642647216,0.028988641711024405,-0.3883648207761912,0.7020634329773243,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*025 - motor-hcp.*gambling.*scratch.*025,0.049477959490085696,0.03239990626379056,1.5271019331738378,0.1432117069969632,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*050 - motor-hcp.*gambling.*scratch.*050,0.06546410188686828,0.03521695715849949,1.8588801295988386,0.07860450852140975,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*075 - motor-hcp.*gambling.*scratch.*075,0.1278305243501266,0.030525596240198825,4.187650368702314,0.0004991848571696447,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*scratch.*120 - motor-hcp.*gambling.*scratch.*120,0.13386070826921667,0.02759815183787118,4.8503504530157775,0.0001111489425142963,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*001 - motor-hcp.*gambling.*pretrained.*001,0.024164723701298352,0.03075091581848118,0.785821269322179,0.4416626316981451,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*010 - motor-hcp.*gambling.*pretrained.*010,0.023160578015025603,0.03391102004618843,0.6829808712176688,0.5028625858412319,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*025 - motor-hcp.*gambling.*pretrained.*025,0.01216459709659327,0.026292360376221128,0.46266660438729423,0.6488582241382231,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*050 - motor-hcp.*gambling.*pretrained.*050,0.05690606275809547,0.03362753126734071,1.6922462224684045,0.10693411978873743,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*075 - motor-hcp.*gambling.*pretrained.*075,0.02175987899107349,0.027982741329542992,0.777617844328223,0.4463696165099178,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*gambling.*pretrained.*120 - motor-hcp.*gambling.*pretrained.*120,0.05332692991181905,0.02720583483371018,1.960128415017163,0.06481294436004816,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*001 - motor-hcp.*language.*scratch.*001,0.049327857310036353,0.053445678809885815,0.9229531443599553,0.3676045422738403,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*010 - motor-hcp.*language.*scratch.*010,0.04354863886014743,0.03647353026515374,1.193979265060425,0.24718052460340992,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*025 - motor-hcp.*language.*scratch.*025,0.01381169195804161,0.030746089789318306,0.4492178372171416,0.6583565943232909,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*050 - motor-hcp.*language.*scratch.*050,0.005485929932597283,0.02560573391829316,0.21424615088568283,0.8326376544895973,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*075 - motor-hcp.*language.*scratch.*075,0.03955318168129327,0.030065189114029927,1.3155806714295957,0.20396962722530346,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*scratch.*120 - motor-hcp.*language.*scratch.*120,0.023502167730556904,0.04585371383725756,0.5125466568306768,0.6141755922033681,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*001 - motor-hcp.*language.*pretrained.*001,0.06761478694150318,0.06846061604517349,0.9876450264030315,0.3357379368158022,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*010 - motor-hcp.*language.*pretrained.*010,0.08258821157085264,0.03263347297494131,2.5307821706341436,0.020371882396905027,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*025 - motor-hcp.*language.*pretrained.*025,0.09381596023098447,0.0337325472514519,2.7811703495634017,0.011901563228918458,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*050 - motor-hcp.*language.*pretrained.*050,0.0684631175634277,0.04673737763814719,1.4648472170066276,0.15931444445916912,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*075 - motor-hcp.*language.*pretrained.*075,-0.022060326808202923,0.032414952905357335,-0.6805601992578226,0.5043595047067095,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*language.*pretrained.*120 - motor-hcp.*language.*pretrained.*120,-0.04409413659918686,0.036515017001792396,-1.207561716239169,0.24203366488683287,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*001 - motor-hcp.*motor.*scratch.*001,0.07609114074190164,0.0634833628004141,1.198599717868211,0.24542045545084284,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*010 - motor-hcp.*motor.*scratch.*010,0.013360333169661832,0.03357275913678238,0.3979515986526179,0.695101806773801,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*025 - motor-hcp.*motor.*scratch.*025,0.055205391445841925,0.043187890596181104,1.2782608894244876,0.21655298527186276,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*050 - motor-hcp.*motor.*scratch.*050,0.050944911743228974,0.024927460809087774,2.043726480342356,0.05509583427278057,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*075 - motor-hcp.*motor.*scratch.*075,0.07627727983020613,0.029995720235600896,2.5429387669670027,0.01985409007187167,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*scratch.*120 - motor-hcp.*motor.*scratch.*120,0.04796938516532066,0.03808887533865135,1.2594067096710229,0.2231357649465897,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*001 - motor-hcp.*motor.*pretrained.*001,0.19445743474196692,0.04552705759218677,4.271249780379814,0.0004125385682698413,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*010 - motor-hcp.*motor.*pretrained.*010,0.017435714868800245,0.03633262261045791,0.47989144785220056,0.6367826939299306,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*025 - motor-hcp.*motor.*pretrained.*025,0.04796938516532068,0.0347847246273179,1.3790359325612804,0.18390264507335874,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*050 - motor-hcp.*motor.*pretrained.*050,0.04089241149909929,0.02780285411238073,1.4707990529968549,0.15771345902544784,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*075 - motor-hcp.*motor.*pretrained.*075,0.043832179949033954,0.03771992402138163,1.1620431664758277,0.25960764769712774,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*motor.*pretrained.*120 - motor-hcp.*motor.*pretrained.*120,0.01966149050043523,0.03180358935445859,0.6182160850243421,0.5437733133767177,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*001 - motor-hcp.*relational.*scratch.*001,0.009808054440364358,0.03107538112358721,0.3156213724735215,0.7557305020375699,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*010 - motor-hcp.*relational.*scratch.*010,0.04587040602879049,0.034222198359582824,1.3403699419545312,0.19593385024832427,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*025 - motor-hcp.*relational.*scratch.*025,0.21808885128561156,0.040485910111864254,5.386783962198774,3.375914037317732e-05,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*050 - motor-hcp.*relational.*scratch.*050,0.26398118158678396,0.030729377667036255,8.590515058492691,5.7280004174166864e-08,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*075 - motor-hcp.*relational.*scratch.*075,0.28239220946333077,0.04711080874552765,5.99421272915717,9.090243973797385e-06,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*scratch.*120 - motor-hcp.*relational.*scratch.*120,0.37533429765599324,0.039295124851251584,9.55167591595115,1.096119658877645e-08,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*001 - motor-hcp.*relational.*pretrained.*001,0.01324062709299087,0.02819406620249879,0.4696246010735895,0.6439680310974306,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*010 - motor-hcp.*relational.*pretrained.*010,0.08800892452436833,0.04199689388596225,2.0956055646245284,0.04974528746338091,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*025 - motor-hcp.*relational.*pretrained.*025,-0.028452081985629284,0.032089483523231384,-0.8866481744722134,0.3863538131866806,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*050 - motor-hcp.*relational.*pretrained.*050,0.10338779865755347,0.042687098563808756,2.421991705597165,0.025604795196450036,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*075 - motor-hcp.*relational.*pretrained.*075,-0.004635114501120497,0.04348269233183975,-0.10659676879590278,0.9162263543731779,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*relational.*pretrained.*120 - motor-hcp.*relational.*pretrained.*120,0.07419246974706202,0.0451246008603911,1.6441689972306381,0.11658602224516908,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*001 - motor-hcp.*social.*scratch.*001,0.060156520977244374,0.0344537349467577,1.7460087003689408,0.09695887357846583,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*010 - motor-hcp.*social.*scratch.*010,-0.035418330625116505,0.05147118581350156,-0.688119577300001,0.4996932884590902,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*025 - motor-hcp.*social.*scratch.*025,0.37109281295907137,0.07397957007981852,5.016152602112847,7.66843895252083e-05,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*050 - motor-hcp.*social.*scratch.*050,0.32126518369590196,0.08208931909381208,3.9136051710790594,0.0009333507557502493,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*075 - motor-hcp.*social.*scratch.*075,0.40788304191461633,0.07539148758680397,5.41020020920783,3.2068947741192266e-05,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*scratch.*120 - motor-hcp.*social.*scratch.*120,0.1858180672743151,0.06553907432948776,2.8352256905574063,0.010578564992174279,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*001 - motor-hcp.*social.*pretrained.*001,0.13481284197346327,0.050623806635196195,2.663032492695535,0.015364820899564298,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*010 - motor-hcp.*social.*pretrained.*010,0.08438868315384929,0.04130409040494435,2.043107167510641,0.05516272616260462,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*025 - motor-hcp.*social.*pretrained.*025,0.06840930557999367,0.022802408072463667,3.000091278192902,0.007360236507217467,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*050 - motor-hcp.*social.*pretrained.*050,0.01375075416585963,0.023621042794633975,0.5821400132674671,0.567316633352362,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*075 - motor-hcp.*social.*pretrained.*075,-0.005493219358150547,0.030506040013577086,-0.18006989290336353,0.8590043452620723,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*social.*pretrained.*120 - motor-hcp.*social.*pretrained.*120,0.014939264434422384,0.03636550524618991,0.41080865873539885,0.6858089370480547,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*001 - motor-hcp.*wm.*scratch.*001,0.045689349970144635,0.027629514271625077,1.6536428950930429,0.11462754197878526,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*010 - motor-hcp.*wm.*scratch.*010,0.20890191393720148,0.04812536690232992,4.340785896992045,0.00035210408898254096,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*025 - motor-hcp.*wm.*scratch.*025,0.43484665560095265,0.06939666966825989,6.266102648436449,5.127120600272219e-06,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*050 - motor-hcp.*wm.*scratch.*050,0.5186787055600363,0.07897245109643589,6.567843575307805,2.746302930773382e-06,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*075 - motor-hcp.*wm.*scratch.*075,0.5183371304343665,0.0795512573113361,6.51576289241758,3.0561307457544797e-06,True
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*scratch.*120 - motor-hcp.*wm.*scratch.*120,0.5137212376030276,0.0947057169888925,5.424395210093589,3.108671870590042e-05,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*001 - motor-hcp.*wm.*pretrained.*001,-0.005063897424691571,0.03994423175783629,-0.12677418495345405,0.9004511442975125,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*010 - motor-hcp.*wm.*pretrained.*010,-0.09146358822197347,0.038604172139927576,-2.369266925099383,0.028570429122306493,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*025 - motor-hcp.*wm.*pretrained.*025,0.02047684563323049,0.04103486733096701,0.4990108891561497,0.6235001091972212,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*050 - motor-hcp.*wm.*pretrained.*050,0.08557477604493699,0.030470940221024673,2.808406154329664,0.011216305026993665,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*075 - motor-hcp.*wm.*pretrained.*075,0.07981551441487175,0.031831580491295614,2.5074317135053157,0.021402310393554475,False
full-hcp.*emotion.*scratch.*001 - motor-hcp.*emotion.*scratch.*001 - full-hcp.*wm.*pretrained.*120 - motor-hcp.*wm.*pretrained.*120,0.05007554290309048,0.02933922371861044,1.7067780450962164,0.10415464669165532,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*scratch.*025 - motor-hcp.*emotion.*scratch.*025,0.06721555701776481,0.034514842977503776,1.947439165856117,0.066414603314611,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*scratch.*050 - motor-hcp.*emotion.*scratch.*050,0.10859912619997916,0.030953673682031987,3.5084406237382697,0.0023498961773860444,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*scratch.*075 - motor-hcp.*emotion.*scratch.*075,0.084729646049677,0.048644954375948186,1.7417972148735406,0.097710234036734,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*scratch.*120 - motor-hcp.*emotion.*scratch.*120,0.12316646236027365,0.055706548002500446,2.2109871599788447,0.03949560489135136,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*pretrained.*001 - motor-hcp.*emotion.*pretrained.*001,0.014488401753160397,0.08160503708634977,0.17754298350271688,0.8609610081665716,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*pretrained.*010 - motor-hcp.*emotion.*pretrained.*010,-0.09958126569462333,0.058397802147549235,-1.705222834294671,0.10444911810803781,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*pretrained.*025 - motor-hcp.*emotion.*pretrained.*025,-0.010316813726033264,0.03884150445379834,-0.2656131339687172,0.7933978165333873,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*pretrained.*050 - motor-hcp.*emotion.*pretrained.*050,0.06356550429903036,0.04328828163368955,1.4684229056937168,0.15835103381682072,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*pretrained.*075 - motor-hcp.*emotion.*pretrained.*075,-0.002809159256175592,0.03739446525320336,-0.07512232725229165,0.94090271179671,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*emotion.*pretrained.*120 - motor-hcp.*emotion.*pretrained.*120,-0.017349461653460102,0.043365301036899666,-0.4000770486684133,0.6935620979511392,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*gambling.*scratch.*001 - motor-hcp.*gambling.*scratch.*001,-0.018725872281160506,0.0324092285812519,-0.5777944462397063,0.5701878294641354,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*gambling.*scratch.*010 - motor-hcp.*gambling.*scratch.*010,-0.035714245763259,0.032435692737006826,-1.10107855728056,0.2846166458764346,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*gambling.*scratch.*025 - motor-hcp.*gambling.*scratch.*025,0.02502188236947393,0.03875769273590255,0.6455978311189644,0.526260506472847,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*gambling.*scratch.*050 - motor-hcp.*gambling.*scratch.*050,0.041008024766256514,0.0349691704551171,1.1726908082904135,0.25541338805378005,False
full-hcp.*emotion.*scratch.*010 - motor-hcp.*emotion.*scratch.*010 - full-hcp.*gambling.*scratch.*075 - motor-hcp.*gambling.*scratch.*075,0.1033744472295148,0.03848912544408617,2.6858092003074656,0.014630045355851719,False
