,mean_diff,sem,t_df19,p,sidak_sig
full-hcp.*scratch.*001 - full-hcp.*scratch.*010,-0.34053197842521366,0.01518052848059996,-22.432155696054878,3.9157782589224036e-15,True
full-hcp.*scratch.*001 - full-hcp.*scratch.*025,-0.33190600992138425,0.018016140472010122,-18.4227032663868,1.4100616409102776e-13,True
full-hcp.*scratch.*001 - full-hcp.*scratch.*050,-0.3424156784727505,0.0164143222187878,-20.860786934036316,1.478408067715294e-14,True
full-hcp.*scratch.*001 - full-hcp.*scratch.*075,-0.36073427381998746,0.01612893996547288,-22.36565295625187,4.134906880278278e-15,True
full-hcp.*scratch.*001 - full-hcp.*scratch.*120,-0.3906174292687388,0.017749707289351418,-22.006978644829932,5.560895472975683e-15,True
full-hcp.*scratch.*001 - full-hcp.*pretrained.*001,-0.07333625258116812,0.015769869023654248,-4.650403403551819,0.0001744034174552749,True
full-hcp.*scratch.*001 - full-hcp.*pretrained.*010,-0.40185836170293887,0.011708349488747884,-34.322374993088324,1.466121662632568e-18,True
full-hcp.*scratch.*001 - full-hcp.*pretrained.*025,-0.478288927622559,0.010912261821145025,-43.83041164717692,1.488002788060073e-20,True
full-hcp.*scratch.*001 - full-hcp.*pretrained.*050,-0.5223094696620337,0.013022050830621905,-40.10961686878082,7.89139163766504e-20,True
full-hcp.*scratch.*001 - full-hcp.*pretrained.*075,-0.5692036707123754,0.011554666271572563,-49.26180101910535,1.646910351550832e-21,True
full-hcp.*scratch.*001 - full-hcp.*pretrained.*120,-0.5821660799020626,0.010844933502662309,-53.6809266519843,3.255422842223271e-22,True
full-hcp.*scratch.*001 - motor-hcp.*scratch.*001,-0.008519125587506648,0.010841268348008935,-0.7858052502750968,0.44167179313970506,False
full-hcp.*scratch.*001 - motor-hcp.*scratch.*010,-0.35514506709407845,0.01023544596712481,-34.697566499277855,1.1961890979738682e-18,True
full-hcp.*scratch.*001 - motor-hcp.*scratch.*025,-0.4814811167372963,0.011572634114315599,-41.60514468712821,3.9657117841169184e-20,True
full-hcp.*scratch.*001 - motor-hcp.*scratch.*050,-0.5098022454098092,0.012622949927282521,-40.386933985054625,6.933081803449083e-20,True
