,input1,input2,input3,input4,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_001,motor-hcp_001,full-hcp_010,motor-hcp_010,-0.021179994213848845,0.011648503699462161,-1.8182587875923302,0.08482628203915779,False
1,full-hcp_001,motor-hcp_001,full-hcp_025,motor-hcp_025,0.053410296272400605,0.012698885151272325,4.205904347993046,0.00047882347034869366,True
2,full-hcp_001,motor-hcp_001,full-hcp_050,motor-hcp_050,0.07863554254679846,0.01352913893602826,5.812309483894134,1.3403543607249765e-05,True
3,full-hcp_001,motor-hcp_001,full-hcp_075,motor-hcp_075,0.07009648551548037,0.015019720282678726,4.6669634451393955,0.00016799792764919194,True
4,full-hcp_001,motor-hcp_001,full-hcp_120,motor-hcp_120,0.06343303252604748,0.015690195682035713,4.042845214395529,0.0006947611404744019,True
5,full-hcp_010,motor-hcp_010,full-hcp_025,motor-hcp_025,0.07459029048624946,0.00795820151613312,9.372757190809711,1.4786005038248973e-08,True
6,full-hcp_010,motor-hcp_010,full-hcp_050,motor-hcp_050,0.09981553676064728,0.011634238231257374,8.579464746774374,5.841829499087e-08,True
7,full-hcp_010,motor-hcp_010,full-hcp_075,motor-hcp_075,0.0912764797293292,0.010507406909252873,8.686870178116989,4.828045310881123e-08,True
8,full-hcp_010,motor-hcp_010,full-hcp_120,motor-hcp_120,0.08461302673989635,0.014099499118996656,6.0011370635070875,8.95758917938751e-06,True
9,full-hcp_025,motor-hcp_025,full-hcp_050,motor-hcp_050,0.025225246274397806,0.011093227973298926,2.273932018265038,0.03475700125980611,False
10,full-hcp_025,motor-hcp_025,full-hcp_075,motor-hcp_075,0.01668618924307973,0.012187351982697112,1.369139848161422,0.18692424069835362,False
11,full-hcp_025,motor-hcp_025,full-hcp_120,motor-hcp_120,0.01002273625364689,0.013101975437702234,0.7649790141420563,0.45368167073019583,False
12,full-hcp_050,motor-hcp_050,full-hcp_075,motor-hcp_075,-0.008539057031318065,0.015508576148848213,-0.550602257058411,0.588322352365156,False
13,full-hcp_050,motor-hcp_050,full-hcp_120,motor-hcp_120,-0.015202510020750959,0.012172779816108035,-1.248893864048517,0.22687284371209243,False
14,full-hcp_075,motor-hcp_075,full-hcp_120,motor-hcp_120,-0.006663452989432883,0.013818998926774996,-0.4821950580314549,0.635175517275168,False
