,input1,input2,input3,input4,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_emotion_010,motor-hcp_emotion_010,-0.04480679516358596,0.04176900758356775,-1.0727282680571348,0.2968296317577578,False
1,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_emotion_025,motor-hcp_emotion_025,0.03343320932959142,0.05210401534704318,0.6416628182474367,0.5287579857296919,False
2,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_emotion_050,motor-hcp_emotion_050,0.09106615293323043,0.043987682501823167,2.0702648503806946,0.05229717987230444,False
3,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_emotion_075,motor-hcp_emotion_075,0.045944081080476394,0.04339809116264347,1.058665942432613,0.30302622171829524,False
4,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_emotion_120,motor-hcp_emotion_120,0.057892338037132396,0.054804925446223625,1.056334582444387,0.30406245942453547,False
5,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_gambling_001,motor-hcp_gambling_001,-0.004524775166511263,0.03999168931451227,-0.11314288653641104,0.9111041966638502,False
6,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_gambling_010,motor-hcp_gambling_010,-0.013521034750696864,0.04349394294534716,-0.31087167166441726,0.759282913200729,False
7,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_gambling_025,motor-hcp_gambling_025,0.011349038856453424,0.038029818638583894,0.298424743076188,0.7686181480190466,False
8,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_gambling_050,motor-hcp_gambling_050,0.04171284288559578,0.04468568034698945,0.933472256921921,0.3622882894150463,False
9,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_gambling_075,motor-hcp_gambling_075,0.055322962233713954,0.03974800077234281,1.3918426375851438,0.1800504911459122,False
10,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_gambling_120,motor-hcp_gambling_120,0.07412157965363181,0.04019844062301351,1.8438919148320738,0.08085195264929973,False
11,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_language_001,motor-hcp_language_001,0.038999082688883704,0.05810952737784712,0.6711306122883937,0.5102148078701427,False
12,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_language_010,motor-hcp_language_010,0.043596185778614,0.04440074476381831,0.9818796060857984,0.3384976728978134,False
13,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_language_025,motor-hcp_language_025,0.034341586657626974,0.0404449390652689,0.8490947804917569,0.40640012683429094,False
14,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_language_050,motor-hcp_language_050,0.01750228431112642,0.03945248768847086,0.4436294220361949,0.6623211991524649,False
15,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_language_075,motor-hcp_language_075,-0.010725812000340928,0.04216422512634996,-0.25438181226382783,0.8019333944506136,False
16,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_language_120,motor-hcp_language_120,-0.02976822387120105,0.052931182739911806,-0.5623948366593905,0.5804225128149355,False
17,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_motor_001,motor-hcp_motor_001,0.11580204830504819,0.05206051581257009,2.2243738176156835,0.038440785726640024,False
18,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_motor_010,motor-hcp_motor_010,-0.004074215417655014,0.037853930615309034,-0.10762991719563474,0.9154176882415543,False
19,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_motor_025,motor-hcp_motor_025,0.032115148868695174,0.044234552861907916,0.7260195207342262,0.4766758573647889,False
20,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_motor_050,motor-hcp_motor_050,0.026446422184278028,0.03993425909543995,0.6622489757747357,0.5157648245082969,False
21,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_motor_075,motor-hcp_motor_075,0.040582490452734,0.04818834570816915,0.8421640099144188,0.41017200979630186,False
22,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_motor_120,motor-hcp_motor_120,0.014343198395991852,0.04314555405868664,0.3324374598708876,0.7431986502959084,False
23,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_relational_001,motor-hcp_relational_001,-0.007947898670208462,0.0434013563389917,-0.1831255827152131,0.8566394821965848,False
24,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_relational_010,motor-hcp_relational_010,0.047467425839693336,0.04499355760818801,1.0549827211497302,0.30466449525232375,False
25,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_relational_025,motor-hcp_relational_025,0.07534614521310508,0.044686116377537916,1.6861197911344752,0.10812479951753241,False
26,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_relational_050,motor-hcp_relational_050,0.1642122506852826,0.04209839889309308,3.9006768666497735,0.0009613224561135046,False
27,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_relational_075,motor-hcp_relational_075,0.119406308044219,0.05373244810917081,2.222238372642457,0.038607299801863795,False
28,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_relational_120,motor-hcp_relational_120,0.20529114426464154,0.04955832316194707,4.1424150610138595,0.0005534711553605133,False
29,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_social_001,motor-hcp_social_001,0.07801244203846772,0.04385108035951679,1.7790312439026843,0.09123859923031147,False
30,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_social_010,motor-hcp_social_010,0.005012936827480307,0.05635835224634517,0.08894754065144614,0.930054490408087,False
31,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_social_025,motor-hcp_social_025,0.20027881983264648,0.053877487722677246,3.717300644446128,0.0014609681621268451,False
32,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_social_050,motor-hcp_social_050,0.14803572949399474,0.057305430789889006,2.583275746355862,0.018223483252574547,False
33,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_social_075,motor-hcp_social_075,0.18172267184134677,0.04072915484941623,4.46173441391582,0.00026743656540714284,False
34,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_social_120,motor-hcp_social_120,0.08090642641748265,0.0456839342330463,1.7710039158351978,0.09260150387024103,False
35,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_wm_001,motor-hcp_wm_001,0.0008404868358404413,0.036050423554197145,0.02331420141505073,0.9816427584875203,False
36,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_wm_010,motor-hcp_wm_010,0.039246923420727935,0.04922604468365268,0.7972796448088652,0.435139644775589,False
37,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_wm_025,motor-hcp_wm_025,0.2081895111802055,0.044592717890145704,4.668688544463268,0.00016734451016945138,False
38,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_wm_050,motor-hcp_wm_050,0.2826545013656005,0.06428057136429254,4.3971995793835355,0.00030968522179009294,False
39,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_wm_075,motor-hcp_wm_075,0.27960408298773304,0.06593546844854359,4.2405717221215715,0.0004424231433907945,False
40,full-hcp_emotion_001,motor-hcp_emotion_001,full-hcp_wm_120,motor-hcp_wm_120,0.26242615081617293,0.05916384346024594,4.435583212110034,0.00028380699613102516,False
41,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_emotion_025,motor-hcp_emotion_025,0.07824000449317739,0.02966293079618183,2.6376356750037773,0.016225422611955167,False
42,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_emotion_050,motor-hcp_emotion_050,0.1358729480968164,0.027872460092690572,4.874810032733654,0.00010521120668185138,False
43,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_emotion_075,motor-hcp_emotion_075,0.09075087624406236,0.03426707817111961,2.6483400712158605,0.01585725737651654,False
44,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_emotion_120,motor-hcp_emotion_120,0.1026991332007184,0.03608020602054321,2.846412050481197,0.010322977601590911,False
45,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_gambling_001,motor-hcp_gambling_001,0.04028201999707471,0.02980783288343189,1.3513904266238923,0.1924428062401457,False
46,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_gambling_010,motor-hcp_gambling_010,0.03128576041288911,0.0308520771564225,1.0140568576393674,0.32329581526305395,False
47,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_gambling_025,motor-hcp_gambling_025,0.056155834020039395,0.03149708085315043,1.7828901123204415,0.09058964933562658,False
48,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_gambling_050,motor-hcp_gambling_050,0.08651963804918175,0.027025044586841,3.201461435934495,0.004698769327393092,False
49,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_gambling_075,motor-hcp_gambling_075,0.10012975739729993,0.026523920233537203,3.7750738396013768,0.0012805854703251398,False
50,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_gambling_120,motor-hcp_gambling_120,0.11892837481721777,0.025777753815257643,4.613605035937034,0.0001895372980474022,False
51,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_language_001,motor-hcp_language_001,0.08380587785246968,0.05485350295277281,1.5278126890934198,0.14303593898298297,False
52,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_language_010,motor-hcp_language_010,0.08840298094219994,0.03406675981217801,2.594992345312456,0.017774083397241406,False
53,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_language_025,motor-hcp_language_025,0.07914838182121293,0.029283140071393154,2.702865253802934,0.014101835553932735,False
54,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_language_050,motor-hcp_language_050,0.06230907947471239,0.030107053041700887,2.069584139915949,0.052367332069646166,False
55,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_language_075,motor-hcp_language_075,0.03408098316324506,0.0321373762328915,1.0604780837199879,0.3022225190953324,False
56,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_language_120,motor-hcp_language_120,0.01503857129238495,0.044058435715218995,0.34133239295171375,0.7365992356661721,False
57,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_motor_001,motor-hcp_motor_001,0.1606088434686342,0.03376652834124332,4.756451176902967,0.00013728654741640043,False
58,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_motor_010,motor-hcp_motor_010,0.04073257974593094,0.029022032535211385,1.403505412534824,0.17659901864810496,False
59,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_motor_025,motor-hcp_motor_025,0.07692194403228114,0.027439203361025562,2.8033592309585957,0.011340365937214077,False
60,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_motor_050,motor-hcp_motor_050,0.07125321734786401,0.02652935761168483,2.6858252050732125,0.014629540991233123,False
61,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_motor_075,motor-hcp_motor_075,0.08538928561631995,0.027189543856530732,3.1405192402964883,0.005385446521366986,False
62,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_motor_120,motor-hcp_motor_120,0.05914999355957782,0.029675625215864542,1.9932181084412781,0.06079709393566141,False
63,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_relational_001,motor-hcp_relational_001,0.036858896493377515,0.028610402739986482,1.2883040070548455,0.21310866313723828,False
64,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_relational_010,motor-hcp_relational_010,0.0922742210032793,0.029402114863241863,3.1383531910025733,0.005411571908377984,False
65,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_relational_025,motor-hcp_relational_025,0.12015294037669107,0.02718661439970917,4.419562458574335,0.00029433184841830945,False
66,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_relational_050,motor-hcp_relational_050,0.2090190458488686,0.02433039310908241,8.5908618455837,5.7244657314677776e-08,True
67,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_relational_075,motor-hcp_relational_075,0.164213103207805,0.04592099783487631,3.5759916149532707,0.002015562320581776,False
68,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_relational_120,motor-hcp_relational_120,0.25009793942822744,0.03448696197623791,7.251956249453027,6.976453169724858e-07,True
69,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_social_001,motor-hcp_social_001,0.1228192372020537,0.030343195363163992,4.0476698558634245,0.000687147289275255,False
70,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_social_010,motor-hcp_social_010,0.04981973199106628,0.04756317219358253,1.0474434250999813,0.3080377098261224,False
71,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_social_025,motor-hcp_social_025,0.24508561499623244,0.04251391046094838,5.764833494236163,1.4843079568816147e-05,True
72,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_social_050,motor-hcp_social_050,0.19284252465758073,0.04723786824281114,4.082371449666938,0.0006347920266031617,False
73,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_social_075,motor-hcp_social_075,0.2265294670049328,0.05007196909960889,4.524077464465087,0.00023215147216613412,False
74,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_social_120,motor-hcp_social_120,0.12571322158106862,0.046104773476003925,2.726685592469039,0.013394459906663634,False
75,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_wm_001,motor-hcp_wm_001,0.045647281999426415,0.03184174500252789,1.4335672242775173,0.16794790418228545,False
76,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_wm_010,motor-hcp_wm_010,0.08405371858431392,0.03369020796020836,2.494900556375019,0.021975302555454407,False
77,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_wm_025,motor-hcp_wm_025,0.25299630634379144,0.03965145730304539,6.380504615762517,4.040795163206141e-06,True
78,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_wm_050,motor-hcp_wm_050,0.32746129652918654,0.054607106551335376,5.996679135916948,9.042763137141612e-06,True
79,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_wm_075,motor-hcp_wm_075,0.324410878151319,0.05022004774764614,6.459788325599998,3.429577714916364e-06,True
80,full-hcp_emotion_010,motor-hcp_emotion_010,full-hcp_wm_120,motor-hcp_wm_120,0.30723294597975886,0.04370130472613539,7.030292296880084,1.0800832118037085e-06,True
81,full-hcp_emotion_025,motor-hcp_emotion_025,full-hcp_emotion_050,motor-hcp_emotion_050,0.05763294360363902,0.02486161218565527,2.31814989202077,0.03174779664291687,False
