,input1,input2,input3,input4,mean_diff,sem,t_df19,p,sidak_sig
0,full-hcp_emotion,motor-hcp_emotion,full-hcp_gambling,motor-hcp_gambling,-0.003178062084109623,0.014602213768701395,-0.21764248451981502,0.8300279427383815,False
1,full-hcp_emotion,motor-hcp_emotion,full-hcp_language,motor-hcp_language,-0.014930647108689155,0.018913962979264187,-0.7893981353911905,0.43961993427059,False
2,full-hcp_emotion,motor-hcp_emotion,full-hcp_motor,motor-hcp_motor,0.006947684428707912,0.0117224360563695,0.5926826467893437,0.5603821658743438,False
3,full-hcp_emotion,motor-hcp_emotion,full-hcp_relational,motor-hcp_relational,0.07004106485998145,0.014829480377470616,4.723096364616383,0.00014800579818557614,True
4,full-hcp_emotion,motor-hcp_emotion,full-hcp_social,motor-hcp_social,0.08507334003909564,0.021373355682431493,3.9803454966607967,0.0008013756146030604,True
5,full-hcp_emotion,motor-hcp_emotion,full-hcp_wm,motor-hcp_wm,0.14823877839823935,0.02177984166492607,6.806237652175445,1.6914482725717547e-06,True
6,full-hcp_gambling,motor-hcp_gambling,full-hcp_language,motor-hcp_language,-0.011752585024579532,0.012676829851253492,-0.9270918015372298,0.3655066700975249,False
7,full-hcp_gambling,motor-hcp_gambling,full-hcp_motor,motor-hcp_motor,0.010125746512817524,0.009910164835165375,1.0217535915131477,0.31973185968749956,False
8,full-hcp_gambling,motor-hcp_gambling,full-hcp_relational,motor-hcp_relational,0.07321912694409108,0.0133089311792888,5.50150316037653,2.6263735012537412e-05,True
9,full-hcp_gambling,motor-hcp_gambling,full-hcp_social,motor-hcp_social,0.08825140212320526,0.01964484830046209,4.492343273586357,0.00024948214017472695,True
10,full-hcp_gambling,motor-hcp_gambling,full-hcp_wm,motor-hcp_wm,0.15141684048234894,0.020884016540952816,7.250369687527582,6.998147344948468e-07,True
11,full-hcp_language,motor-hcp_language,full-hcp_motor,motor-hcp_motor,0.021878331537397065,0.015109872911760611,1.4479494079906055,0.16393225487687646,False
12,full-hcp_language,motor-hcp_language,full-hcp_relational,motor-hcp_relational,0.08497171196867062,0.016299935915432894,5.213008959637615,4.951260897100229e-05,True
13,full-hcp_language,motor-hcp_language,full-hcp_social,motor-hcp_social,0.10000398714778477,0.021069550163958447,4.746375046907812,0.0001404389985883754,True
14,full-hcp_language,motor-hcp_language,full-hcp_wm,motor-hcp_wm,0.16316942550692853,0.021374365710668548,7.633883864234907,3.3368166656500254e-07,True
15,full-hcp_motor,motor-hcp_motor,full-hcp_relational,motor-hcp_relational,0.06309338043127352,0.013667102708312782,4.616441522232656,0.00018832484919381384,True
16,full-hcp_motor,motor-hcp_motor,full-hcp_social,motor-hcp_social,0.0781256556103877,0.020866167352487183,3.7441305962244846,0.0013742552152199439,True
17,full-hcp_motor,motor-hcp_motor,full-hcp_wm,motor-hcp_wm,0.14129109396953146,0.01746914852648945,8.088035530483003,1.4239659471636796e-07,True
18,full-hcp_relational,motor-hcp_relational,full-hcp_social,motor-hcp_social,0.015032275179114207,0.019969473609281602,0.7527627153941284,0.4608182307500489,False
19,full-hcp_relational,motor-hcp_relational,full-hcp_wm,motor-hcp_wm,0.0781977135382579,0.020111421811982506,3.8882240285799803,0.0009890563638101752,True
20,full-hcp_social,motor-hcp_social,full-hcp_wm,motor-hcp_wm,0.06316543835914369,0.022055932935163863,2.863875155262137,0.009935795666099234,False
