,mean_diff,sem,t_df19,p,sidak_sig
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*scratch.*010 - motor.*pretrained.*010,0.030219639323651775,0.036325335768691715,0.8319163108658074,0.4157900872657102,False
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*scratch.*025 - motor.*pretrained.*025,0.016833900831098862,0.027946128118524417,0.6023697007221661,0.5540497992070472,False
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*scratch.*050 - motor.*pretrained.*050,0.058409378938310386,0.03504961538932229,1.6664770294770355,0.11201907475278537,False
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*scratch.*075 - motor.*pretrained.*075,0.029522717226592315,0.03132826081347866,0.9423669383488553,0.35783380044101754,False
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*scratch.*120 - motor.*pretrained.*120,-0.0034112660957542895,0.035099471468694285,-0.09718853170757417,0.9235945716531931,False
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*pretrained.*001 - relational.*scratch.*001,-0.4221858620531645,0.051330787394262944,-8.224807829469427,1.1077425393127334e-07,True
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*pretrained.*010 - relational.*scratch.*010,-0.5288701018996449,0.03977278821376493,-13.297285044668017,4.491393674858813e-11,True
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*pretrained.*025 - relational.*scratch.*025,-0.5328644491121943,0.03887547001870933,-13.706958368754034,2.657788329732883e-11,True
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*pretrained.*050 - relational.*scratch.*050,-0.5721563656358442,0.03222666410072543,-17.754129432930192,2.7435196818063227e-13,True
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*pretrained.*075 - relational.*scratch.*075,-0.5452583187058051,0.029582404762840755,-18.431845655452545,1.397496902444375e-13,True
emotion.*scratch.*001 - motor.*pretrained.*001 - emotion.*pretrained.*120 - relational.*scratch.*120,-0.5745686517890991,0.03420871639775593,-16.795972263571702,7.412504236424665e-13,True
emotion.*scratch.*001 - motor.*pretrained.*001 - gambling.*scratch.*001 - relational.*pretrained.*001,-0.036764697839374694,0.03076719258010759,-1.1949318334343175,0.24681688326695225,False
emotion.*scratch.*001 - motor.*pretrained.*001 - gambling.*scratch.*010 - relational.*pretrained.*010,0.039414865108468214,0.024231419663390732,1.626601563424569,0.12029277472151276,False
emotion.*scratch.*001 - motor.*pretrained.*001 - gambling.*scratch.*025 - relational.*pretrained.*025,0.10671496654552648,0.03371553158249641,3.165157467098282,0.0050967910639275185,False
emotion.*scratch.*001 - motor.*pretrained.*001 - gambling.*scratch.*050 - relational.*pretrained.*050,0.2661667696513924,0.03641745881881772,7.308768329377722,6.243789198441721e-07,True
