,input1,input2,mean_diff,sem,t_df19,p,sidak_sig
0,emotion_001,emotion_010,-0.30173704240523314,0.03572306707471742,-8.44656036319972,7.410742810174695e-08,True
1,emotion_001,emotion_025,-0.34587315302620625,0.04112090652873704,-8.411126656084184,7.898999248220198e-08,True
2,emotion_001,emotion_050,-0.35536856740344114,0.03939279838072163,-9.021155693710613,2.692538338957177e-08,True
3,emotion_001,emotion_075,-0.3838277793303205,0.03620316664266141,-10.602049901292945,2.0357520280980573e-09,True
4,emotion_001,emotion_120,-0.416791589061154,0.04679559495078889,-8.906641522550567,3.283667171909639e-08,True
5,emotion_001,gambling_001,0.2399065263729549,0.03654295471054605,6.565055515440285,2.7620382024243845e-06,True
6,emotion_001,gambling_010,0.23281115027562152,0.03848619538326826,6.049211878626885,8.089789060361516e-06,True
7,emotion_001,gambling_025,0.2352633444329634,0.03665517020152312,6.41828541893355,3.73663592762496e-06,True
8,emotion_001,gambling_050,0.24823163625971448,0.035521010946461436,6.98830437663664,1.174191353866346e-06,True
9,emotion_001,gambling_075,0.24240331700157972,0.034604393934484154,7.004986634371268,1.1358248966764366e-06,True
10,emotion_001,gambling_120,0.24986959425873426,0.03839593447285383,6.5077096752364145,3.1071652364965843e-06,True
11,emotion_001,language_001,-0.04343396857264019,0.05382611225151081,-0.8069311855496506,0.42969211248779904,False
12,emotion_001,language_010,-0.3608129763749417,0.04252455096948638,-8.484815668808452,6.918683548819397e-08,True
13,emotion_001,language_025,-0.37998937722299037,0.034068953034083284,-11.153538438438103,8.820807754817605e-10,True
14,emotion_001,language_050,-0.4219980163668418,0.03680293743003519,-11.466422134621398,5.563654998101994e-10,True
15,emotion_001,language_075,-0.49635441625762244,0.03968923888879309,-12.506020023421923,1.285679634768699e-10,True
16,emotion_001,language_120,-0.5556311977705205,0.049188958152797356,-11.295852130971022,7.14419515330325e-10,True
17,emotion_001,motor_001,0.388641199628205,0.055074284235912464,7.056672728844698,1.024978866448425e-06,True
18,emotion_001,motor_010,-0.6338294589834352,0.03398932802834103,-18.647896141251586,1.1323741321819312e-13,True
19,emotion_001,motor_025,-0.6498570319077627,0.039473208308100645,-16.463243292397888,1.0591489234768852e-12,True
20,emotion_001,motor_050,-0.6762842224725852,0.03739267836660495,-18.086006459397364,1.966159473493912e-13,True
21,emotion_001,motor_075,-0.7010715093683466,0.04072712946930288,-17.21386993150997,4.776223775696932e-13,True
22,emotion_001,motor_120,-0.7252421988169455,0.038972901361088996,-18.608883954968665,1.176023996783922e-13,True
23,emotion_001,relational_001,0.24644843066251934,0.039206532404971635,6.285902260289363,4.9195321283113275e-06,True
24,emotion_001,relational_010,0.18946137305439942,0.041658761589169785,4.5479357961436495,0.00021992755538004,False
25,emotion_001,relational_025,0.13504475887819703,0.03820987581281798,3.5342893952273613,0.002215939201533803,False
26,emotion_001,relational_050,0.09684072600588525,0.03835012905168877,2.5251734062058078,0.020615042115890974,False
27,emotion_001,relational_075,0.03785094137918575,0.042309072036341745,0.8946294389693388,0.3821787071443583,False
28,emotion_001,relational_120,0.0769727828413659,0.047865287272120464,1.608112835587207,0.12430106168381505,False
29,emotion_001,social_001,0.17905882931388012,0.04063264472710285,4.406772695119301,0.0003030162084919149,False
30,emotion_001,social_010,-0.1596905526908886,0.04384360666335286,-3.642276829938985,0.0017333546043433506,False
31,emotion_001,social_025,-0.18326099622936418,0.045941565319280724,-3.989002006260621,0.0007856848142207321,False
32,emotion_001,social_050,-0.25070805271372604,0.05283147241403405,-4.745429973046302,0.00014073841881031497,False
33,emotion_001,social_075,-0.25314469202050516,0.04348123215630527,-5.821930048129888,1.312974142145913e-05,True
34,emotion_001,social_120,-0.30380580012365577,0.04440524524915897,-6.841664727195935,1.5749301461393859e-06,True
35,emotion_001,wm_001,0.4731202191429558,0.033357784857256,14.183202546797485,1.4675713900113623e-11,True
36,emotion_001,wm_010,0.17584943725790753,0.050915490685419895,3.4537512040174363,0.0026602163623877795,False
37,emotion_001,wm_025,0.09340829425332557,0.04141831642672598,2.2552412148035077,0.03610638301578112,False
38,emotion_001,wm_050,0.0731665988012135,0.05517688284614175,1.3260371921559115,0.20054892065334745,False
39,emotion_001,wm_075,0.039779453314722824,0.060552089637693915,0.6569460038908378,0.5190946580498789,False
40,emotion_001,wm_120,0.010304247156334174,0.058504931290308135,0.1761261303804174,0.8620585252323292,False
41,emotion_010,emotion_025,-0.04413611062097308,0.01976075152931239,-2.233523889792509,0.0377347335984848,False
42,emotion_010,emotion_050,-0.05363152499820796,0.016111046425873896,-3.3288666409698386,0.003528146224555676,False
43,emotion_010,emotion_075,-0.08209073692508727,0.01856849437523107,-4.420968941595499,0.00029339229199086146,False
44,emotion_010,emotion_120,-0.11505454665592077,0.03172294471207164,-3.62685581998126,0.0017952960799836148,False
45,emotion_010,gambling_001,0.5416435687781881,0.019474265966264517,27.81329831463137,7.393766980476977e-17,True
46,emotion_010,gambling_010,0.5345481926808547,0.015233489417726894,35.090331441646725,9.688990298826772e-19,True
47,emotion_010,gambling_025,0.5370003868381966,0.01682972067706638,31.907860929026548,5.7318978864871356e-18,True
48,emotion_010,gambling_050,0.5499686786649478,0.011431630537637351,48.10938184664367,2.5734747558709063e-21,True
49,emotion_010,gambling_075,0.544140359406813,0.013966909153684266,38.95925386349898,1.363093652233733e-19,True
