"Name","Agent","Runtime","Hostname","Notes","GPU Type","GPU Count","Tags","batch_size","dropout","kernel_size","learning_rate","best_valid_epoch","test_loss","train_acc","train_loss","valid_acc","valid_loss","test_accuracy","best_valid_accuracy"
"motor-explo-1665603938.097468","lq978dqb","1077","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.7","3","0.001","30","0.006641234765993431","0.9928571428571428","0.04405919656467935","0.9785714285714284","0.09274912439286707","1","0.9928571428571428"
"motor-explo-1665519147.732173","kuhcmqm6","3575","Philipps-iMac.local","-","","","","16","0.3","3","0.001","11","9.57931562644327e-9","0.9928571428571428","0.0208665294969947","0.9642857142857144","0.14028897653891623","1","0.9928571428571428"
"motor-explo-1665548217.9417827","lq978dqb","497","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.6","3","0.001","7","0.000027523369697262414","0.9946428571428572","0.01692212963991167","0.9857142857142858","0.042678680387325585","1","0.9928571428571428"
"motor-explo-1665577345.471957","lq978dqb","454","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.4","3","0.001","6","0.0000747397127156546","0.9982142857142856","0.011899337512962372","0.9714285714285714","0.12684902045875787","1","0.9928571428571428"
"motor-explo-1665585434.0990279","lq978dqb","536","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.5","3","0.001","9","9.349936789249114e-7","0.9964285714285714","0.009331226153279934","0.9714285714285714","0.12296774186188486","1","0.9928571428571428"
"motor-explo-1665428400.619912","kuhcmqm6","4879","Philipps-iMac.local","-","","","","4","0.4","5","0.0001","6","0.00001986317802220583","0.9982142857142856","0.006123928435952612","0.9714285714285714","0.20444341553473133","1","0.9857142857142858"
"motor-explo-1665555595.292211","kuhcmqm6","18811","Philipps-iMac.local","-","","","","16","0.6","7","0.001","19","0","0.9928571428571428","0.017424323546159876","0.9857142857142858","0.15611317856437446","1","0.9857142857142858"
"motor-explo-1665454346.5792322","lq978dqb","1071","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.7","3","0.0001","27","0.003556584840880248","0.9928571428571428","0.015085619754372472","0.9785714285714284","0.08571343891737467","1","0.9857142857142858"
"motor-explo-1665455425.0676355","lq978dqb","787","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.7","3","0.001","17","0","0.9928571428571428","0.01978297916541577","0.9785714285714284","0.3249427088357509","1","0.9857142857142858"
"motor-explo-1665556920.3608449","lq978dqb","1484","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.7","3","0.0001","44","0.002827001571402667","0.9928571428571428","0.01786350824146355","0.9714285714285714","0.07998319217262582","1","0.9857142857142858"
"motor-explo-1665527615.944071","lq978dqb","473","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","3","0.001","6","0.000004009658023765691","0.9946428571428572","0.012714441290389544","0.9642857142857144","0.27408442418608403","1","0.9857142857142858"
"motor-explo-1665514757.298794","lq978dqb","1489","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.7","7","0.0001","20","4.000305405217939e-7","0.9964285714285714","0.009207383660723717","0.9785714285714284","0.09231275327894808","1","0.9857142857142858"
"motor-explo-1665435181.192608","lq978dqb","799","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.5","3","0.0001","17","0.0000158785372512682","1","0.0024898591573770975","0.9785714285714284","0.12491030565403816","1","0.9785714285714284"
"motor-explo-1665518738.2814136","lq978dqb","772","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.3","3","0.0001","17","0.00007061903107796752","1","0.003332115281626459","0.9714285714285714","0.08903210832452008","1","0.9785714285714284"
"motor-explo-1665559618.7909617","lq978dqb","1122","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.7","5","0.0001","23","0.006954160702380007","0.9910714285714286","0.03245595105580199","0.9714285714285714","0.0949756998775734","1","0.9785714285714284"
"motor-explo-1665448469.1740105","lq978dqb","880","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.6","5","0.0001","15","0.002718469498220202","0.9982142857142856","0.0071021188365164864","0.9785714285714284","0.11243911457630164","1","0.9785714285714284"
"motor-explo-1665443558.6129568","lq978dqb","1671","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.6","3","0.00001","58","0.013364172593646514","0.9928571428571428","0.028415265471965816","0.9714285714285714","0.09122379735511978","1","0.9785714285714284"
"motor-explo-1665571891.8827515","lq978dqb","773","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.3","5","0.001","14","1.5739192349428777e-7","1","0.0006441093779316157","0.9571428571428572","0.4036888342350721","1","0.9785714285714284"
"motor-explo-1665529986.2430458","lq978dqb","796","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","5","0.0001","13","0.0000011824823745573302","0.9982142857142856","0.0035815765732938763","0.9714285714285714","0.23120733804897656","1","0.9785714285714284"
"motor-explo-1665534287.6691897","lq978dqb","1092","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.4","7","0.0001","12","0.0071914113401100165","1","0.0006023368737400123","0.9642857142857144","0.2901122330998381","1","0.9785714285714284"
"motor-explo-1665486496.780599","kuhcmqm6","4328","Philipps-iMac.local","-","","","","8","0.5","3","0.0001","20","1.375487778377559e-7","1","0.0016274983969494195","0.9714285714285714","0.2290795106046946","1","0.9785714285714284"
"motor-explo-1665599981.2304647","lq978dqb","1217","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.6","7","0.0001","18","0.00010990920887365974","0.9946428571428572","0.021922177554725093","0.9571428571428572","0.35493775028735397","1","0.9785714285714284"
"motor-explo-1665445232.0101633","lq978dqb","823","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.6","3","0.0001","18","4.5179677719886514e-7","1","0.0050725807454939775","0.9857142857142858","0.0801933509908191","1","0.9785714285714284"
"motor-explo-1665495788.078183","lq978dqb","790","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","3","0.0001","16","0.00014806063098459478","0.9982142857142856","0.009119635102963384","0.9785714285714284","0.09274699364051033","1","0.9785714285714284"
"motor-explo-1665469475.8275871","lq978dqb","817","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.3","5","0.0001","13","0.0005641609000471922","1","0.00012962067439506849","0.9642857142857144","0.5513422795467873","1","0.9785714285714284"
"motor-explo-1665567718.0914333","lq978dqb","987","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","32","0.3","3","0.0001","27","0.00005066513039508891","1","0.0021617662564163234","0.9571428571428572","0.2403745736926794","1","0.9785714285714284"
"motor-explo-1665438099.4239423","lq978dqb","619","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.5","5","0.0001","7","0.00004948381566876492","0.9964285714285714","0.005679591442951182","0.9714285714285714","0.200617207995601","1","0.9785714285714284"
"motor-explo-1665476338.5258143","lq978dqb","714","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.4","3","0.0001","14","0.0029401790784971873","1","0.002867430792029056","0.9714285714285714","0.14671227704874606","1","0.9785714285714284"
"motor-explo-1665538051.4639444","lq978dqb","707","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","16","0.5","3","0.0001","15","0.00036574686795733314","0.9946428571428572","0.012305974923964312","0.9642857142857144","0.14533595161487434","1","0.9785714285714284"
"motor-explo-1665425442.8432689","lq978dqb","1666","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.4","3","0.00001","53","0.0023490887561729325","0.9946428571428572","0.011531766931169304","0.9714285714285714","0.06726537260002645","1","0.9785714285714284"
"motor-explo-1665499504.3372588","lq978dqb","832","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","8","0.6","5","0.0001","14","0.000025981703948638405","0.9964285714285714","0.011020379226448464","0.9857142857142858","0.08289538161551491","1","0.9785714285714284"
"motor-explo-1665421068.7977436","lq978dqb","523","bmig-Precision-7920-Tower","-","Quadro RTX 6000","1","","4","0.3","5","0.0001","4","0.0000443601595404175","1","0.0032785077101904164","0.9785714285714284","0.1971156515400391","1","0.9785714285714284"
